Date,Time,Activity (Triaxial-Counts)
3/29/2024,11:10:15 PM,410
3/29/2024,11:10:30 PM,98
3/29/2024,11:10:45 PM,41
3/29/2024,11:11:00 PM,10
3/29/2024,11:11:15 PM,369
3/29/2024,11:11:30 PM,29
3/29/2024,11:11:45 PM,0
3/29/2024,11:12:00 PM,60
3/29/2024,11:12:15 PM,48
3/29/2024,11:12:30 PM,0
3/29/2024,11:12:45 PM,0
3/29/2024,11:13:00 PM,0
3/29/2024,11:13:15 PM,0
3/29/2024,11:13:30 PM,6
3/29/2024,11:13:45 PM,0
3/29/2024,11:14:00 PM,6
3/29/2024,11:14:15 PM,0
3/29/2024,11:14:30 PM,0
3/29/2024,11:14:45 PM,0
3/29/2024,11:15:00 PM,0
3/29/2024,11:15:15 PM,11
3/29/2024,11:15:30 PM,5
3/29/2024,11:15:45 PM,0
3/29/2024,11:16:00 PM,0
3/29/2024,11:16:15 PM,0
3/29/2024,11:16:30 PM,0
3/29/2024,11:16:45 PM,0
3/29/2024,11:17:00 PM,0
3/29/2024,11:17:15 PM,5
3/29/2024,11:17:30 PM,0
3/29/2024,11:17:45 PM,0
3/29/2024,11:18:00 PM,0
3/29/2024,11:18:15 PM,0
3/29/2024,11:18:30 PM,0
3/29/2024,11:18:45 PM,0
3/29/2024,11:19:00 PM,6
3/29/2024,11:19:15 PM,0
3/29/2024,11:19:30 PM,0
3/29/2024,11:19:45 PM,33
3/29/2024,11:20:00 PM,0
3/29/2024,11:20:15 PM,0
3/29/2024,11:20:30 PM,0
3/29/2024,11:20:45 PM,0
3/29/2024,11:21:00 PM,0
3/29/2024,11:21:15 PM,0
3/29/2024,11:21:30 PM,0
3/29/2024,11:21:45 PM,0
3/29/2024,11:22:00 PM,0
3/29/2024,11:22:15 PM,0
3/29/2024,11:22:30 PM,0
3/29/2024,11:22:45 PM,0
3/29/2024,11:23:00 PM,0
3/29/2024,11:23:15 PM,0
3/29/2024,11:23:30 PM,0
3/29/2024,11:23:45 PM,0
3/29/2024,11:24:00 PM,0
3/29/2024,11:24:15 PM,0
3/29/2024,11:24:30 PM,0
3/29/2024,11:24:45 PM,0
3/29/2024,11:25:00 PM,0
3/29/2024,11:25:15 PM,0
3/29/2024,11:25:30 PM,0
3/29/2024,11:25:45 PM,0
3/29/2024,11:26:00 PM,0
3/29/2024,11:26:15 PM,0
3/29/2024,11:26:30 PM,0
3/29/2024,11:26:45 PM,0
3/29/2024,11:27:00 PM,16
3/29/2024,11:27:15 PM,0
3/29/2024,11:27:30 PM,0
3/29/2024,11:27:45 PM,0
3/29/2024,11:28:00 PM,4
3/29/2024,11:28:15 PM,0
3/29/2024,11:28:30 PM,0
3/29/2024,11:28:45 PM,0
3/29/2024,11:29:00 PM,0
3/29/2024,11:29:15 PM,40
3/29/2024,11:29:30 PM,0
3/29/2024,11:29:45 PM,0
3/29/2024,11:30:00 PM,0
3/29/2024,11:30:15 PM,0
3/29/2024,11:30:30 PM,16
3/29/2024,11:30:45 PM,11
3/29/2024,11:31:00 PM,0
3/29/2024,11:31:15 PM,0
3/29/2024,11:31:30 PM,0
3/29/2024,11:31:45 PM,0
3/29/2024,11:32:00 PM,0
3/29/2024,11:32:15 PM,0
3/29/2024,11:32:30 PM,11
3/29/2024,11:32:45 PM,47
3/29/2024,11:33:00 PM,19
3/29/2024,11:33:15 PM,0
3/29/2024,11:33:30 PM,0
3/29/2024,11:33:45 PM,0
3/29/2024,11:34:00 PM,5
3/29/2024,11:34:15 PM,0
3/29/2024,11:34:30 PM,0
3/29/2024,11:34:45 PM,5
3/29/2024,11:35:00 PM,0
3/29/2024,11:35:15 PM,0
3/29/2024,11:35:30 PM,4
3/29/2024,11:35:45 PM,55
3/29/2024,11:36:00 PM,0
3/29/2024,11:36:15 PM,0
3/29/2024,11:36:30 PM,0
3/29/2024,11:36:45 PM,0
3/29/2024,11:37:00 PM,0
3/29/2024,11:37:15 PM,5
3/29/2024,11:37:30 PM,17
3/29/2024,11:37:45 PM,4
3/29/2024,11:38:00 PM,101
3/29/2024,11:38:15 PM,184
3/29/2024,11:38:30 PM,0
3/29/2024,11:38:45 PM,0
3/29/2024,11:39:00 PM,0
3/29/2024,11:39:15 PM,0
3/29/2024,11:39:30 PM,0
3/29/2024,11:39:45 PM,0
3/29/2024,11:40:00 PM,0
3/29/2024,11:40:15 PM,26
3/29/2024,11:40:30 PM,0
3/29/2024,11:40:45 PM,0
3/29/2024,11:41:00 PM,0
3/29/2024,11:41:15 PM,0
3/29/2024,11:41:30 PM,0
3/29/2024,11:41:45 PM,0
3/29/2024,11:42:00 PM,0
3/29/2024,11:42:15 PM,142
3/29/2024,11:42:30 PM,16
3/29/2024,11:42:45 PM,0
3/29/2024,11:43:00 PM,0
3/29/2024,11:43:15 PM,0
3/29/2024,11:43:30 PM,206
3/29/2024,11:43:45 PM,0
3/29/2024,11:44:00 PM,19
3/29/2024,11:44:15 PM,41
3/29/2024,11:44:30 PM,0
3/29/2024,11:44:45 PM,0
3/29/2024,11:45:00 PM,0
3/29/2024,11:45:15 PM,0
3/29/2024,11:45:30 PM,0
3/29/2024,11:45:45 PM,0
3/29/2024,11:46:00 PM,0
3/29/2024,11:46:15 PM,0
3/29/2024,11:46:30 PM,4
3/29/2024,11:46:45 PM,113
3/29/2024,11:47:00 PM,152
3/29/2024,11:47:15 PM,58
3/29/2024,11:47:30 PM,157
3/29/2024,11:47:45 PM,73
3/29/2024,11:48:00 PM,0
3/29/2024,11:48:15 PM,26
3/29/2024,11:48:30 PM,5
3/29/2024,11:48:45 PM,0
3/29/2024,11:49:00 PM,20
3/29/2024,11:49:15 PM,0
3/29/2024,11:49:30 PM,0
3/29/2024,11:49:45 PM,0
3/29/2024,11:50:00 PM,0
3/29/2024,11:50:15 PM,0
3/29/2024,11:50:30 PM,0
3/29/2024,11:50:45 PM,49
3/29/2024,11:51:00 PM,19
3/29/2024,11:51:15 PM,0
3/29/2024,11:51:30 PM,0
3/29/2024,11:51:45 PM,4
3/29/2024,11:52:00 PM,0
3/29/2024,11:52:15 PM,0
3/29/2024,11:52:30 PM,35
3/29/2024,11:52:45 PM,0
3/29/2024,11:53:00 PM,32
3/29/2024,11:53:15 PM,34
3/29/2024,11:53:30 PM,11
3/29/2024,11:53:45 PM,13
3/29/2024,11:54:00 PM,0
3/29/2024,11:54:15 PM,0
3/29/2024,11:54:30 PM,0
3/29/2024,11:54:45 PM,5
3/29/2024,11:55:00 PM,0
3/29/2024,11:55:15 PM,91
3/29/2024,11:55:30 PM,0
3/29/2024,11:55:45 PM,0
3/29/2024,11:56:00 PM,0
3/29/2024,11:56:15 PM,31
3/29/2024,11:56:30 PM,0
3/29/2024,11:56:45 PM,9
3/29/2024,11:57:00 PM,78
3/29/2024,11:57:15 PM,0
3/29/2024,11:57:30 PM,0
3/29/2024,11:57:45 PM,0
3/29/2024,11:58:00 PM,7
3/29/2024,11:58:15 PM,192
3/29/2024,11:58:30 PM,168
3/29/2024,11:58:45 PM,116
3/29/2024,11:59:00 PM,0
3/29/2024,11:59:15 PM,0
3/29/2024,11:59:30 PM,0
3/29/2024,11:59:45 PM,5
3/30/2024,12:00:00 AM,0
3/30/2024,12:00:15 AM,40
3/30/2024,12:00:30 AM,65
3/30/2024,12:00:45 AM,84
3/30/2024,12:01:00 AM,0
3/30/2024,12:01:15 AM,0
3/30/2024,12:01:30 AM,34
3/30/2024,12:01:45 AM,0
3/30/2024,12:02:00 AM,0
3/30/2024,12:02:15 AM,0
3/30/2024,12:02:30 AM,0
3/30/2024,12:02:45 AM,0
3/30/2024,12:03:00 AM,0
3/30/2024,12:03:15 AM,0
3/30/2024,12:03:30 AM,0
3/30/2024,12:03:45 AM,0
3/30/2024,12:04:00 AM,0
3/30/2024,12:04:15 AM,0
3/30/2024,12:04:30 AM,0
3/30/2024,12:04:45 AM,0
3/30/2024,12:05:00 AM,8
3/30/2024,12:05:15 AM,121
3/30/2024,12:05:30 AM,53
