Date,Time,Activity (Triaxial-Counts)
3/28/2024,6:26:00 PM,120
3/28/2024,6:26:15 PM,0
3/28/2024,6:26:30 PM,0
3/28/2024,6:26:45 PM,0
3/28/2024,6:27:00 PM,0
3/28/2024,6:27:15 PM,21
3/28/2024,6:27:30 PM,81
3/28/2024,6:27:45 PM,0
3/28/2024,6:28:00 PM,109
3/28/2024,6:28:15 PM,11
3/28/2024,6:28:30 PM,19
3/28/2024,6:28:45 PM,53
3/28/2024,6:29:00 PM,102
3/28/2024,6:29:15 PM,47
3/28/2024,6:29:30 PM,210
3/28/2024,6:29:45 PM,146
3/28/2024,6:30:00 PM,108
3/28/2024,6:30:15 PM,150
3/28/2024,6:30:30 PM,109
3/28/2024,6:30:45 PM,132
3/28/2024,6:31:00 PM,159
3/28/2024,6:31:15 PM,83
3/28/2024,6:31:30 PM,211
3/28/2024,6:31:45 PM,87
3/28/2024,6:32:00 PM,460
3/28/2024,6:32:15 PM,268
3/28/2024,6:32:30 PM,205
3/28/2024,6:32:45 PM,116
3/28/2024,6:33:00 PM,60
3/28/2024,6:33:15 PM,173
3/28/2024,6:33:30 PM,8
3/28/2024,6:33:45 PM,37
3/28/2024,6:34:00 PM,50
3/28/2024,6:34:15 PM,195
3/28/2024,6:34:30 PM,6
3/28/2024,6:34:45 PM,26
3/28/2024,6:35:00 PM,29
3/28/2024,6:35:15 PM,259
3/28/2024,6:35:30 PM,342
3/28/2024,6:35:45 PM,170
3/28/2024,6:36:00 PM,42
3/28/2024,6:36:15 PM,42
3/28/2024,6:36:30 PM,64
3/28/2024,6:36:45 PM,212
3/28/2024,6:37:00 PM,132
3/28/2024,6:37:15 PM,163
3/28/2024,6:37:30 PM,167
3/28/2024,6:37:45 PM,24
3/28/2024,6:38:00 PM,188
3/28/2024,6:38:15 PM,266
3/28/2024,6:38:30 PM,537
3/28/2024,6:38:45 PM,251
3/28/2024,6:39:00 PM,289
3/28/2024,6:39:15 PM,12
3/28/2024,6:39:30 PM,167
3/28/2024,6:39:45 PM,292
3/28/2024,6:40:00 PM,14
3/28/2024,6:40:15 PM,9
3/28/2024,6:40:30 PM,53
3/28/2024,6:40:45 PM,0
3/28/2024,6:41:00 PM,146
3/28/2024,6:41:15 PM,129
3/28/2024,6:41:30 PM,376
3/28/2024,6:41:45 PM,223
3/28/2024,6:42:00 PM,100
3/28/2024,6:42:15 PM,121
3/28/2024,6:42:30 PM,88
3/28/2024,6:42:45 PM,0
3/28/2024,6:43:00 PM,5
3/28/2024,6:43:15 PM,170
3/28/2024,6:43:30 PM,49
3/28/2024,6:43:45 PM,254
3/28/2024,6:44:00 PM,211
3/28/2024,6:44:15 PM,131
3/28/2024,6:44:30 PM,49
3/28/2024,6:44:45 PM,14
3/28/2024,6:45:00 PM,154
3/28/2024,6:45:15 PM,0
3/28/2024,6:45:30 PM,80
3/28/2024,6:45:45 PM,172
3/28/2024,6:46:00 PM,206
3/28/2024,6:46:15 PM,184
3/28/2024,6:46:30 PM,97
3/28/2024,6:46:45 PM,0
3/28/2024,6:47:00 PM,0
3/28/2024,6:47:15 PM,0
3/28/2024,6:47:30 PM,0
3/28/2024,6:47:45 PM,70
3/28/2024,6:48:00 PM,411
3/28/2024,6:48:15 PM,319
3/28/2024,6:48:30 PM,375
3/28/2024,6:48:45 PM,350
3/28/2024,6:49:00 PM,468
3/28/2024,6:49:15 PM,342
3/28/2024,6:49:30 PM,405
3/28/2024,6:49:45 PM,568
3/28/2024,6:50:00 PM,556
3/28/2024,6:50:15 PM,849
3/28/2024,6:50:30 PM,417
3/28/2024,6:50:45 PM,9
3/28/2024,6:51:00 PM,276
3/28/2024,6:51:15 PM,318
3/28/2024,6:51:30 PM,352
3/28/2024,6:51:45 PM,6
3/28/2024,6:52:00 PM,0
3/28/2024,6:52:15 PM,0
3/28/2024,6:52:30 PM,0
3/28/2024,6:52:45 PM,36
3/28/2024,6:53:00 PM,0
3/28/2024,6:53:15 PM,0
3/28/2024,6:53:30 PM,0
3/28/2024,6:53:45 PM,9
3/28/2024,6:54:00 PM,4
3/28/2024,6:54:15 PM,10
3/28/2024,6:54:30 PM,0
3/28/2024,6:54:45 PM,0
3/28/2024,6:55:00 PM,0
3/28/2024,6:55:15 PM,0
3/28/2024,6:55:30 PM,0
3/28/2024,6:55:45 PM,0
3/28/2024,6:56:00 PM,0
3/28/2024,6:56:15 PM,0
3/28/2024,6:56:30 PM,0
3/28/2024,6:56:45 PM,0
3/28/2024,6:57:00 PM,36
3/28/2024,6:57:15 PM,370
3/28/2024,6:57:30 PM,145
3/28/2024,6:57:45 PM,300
3/28/2024,6:58:00 PM,173
3/28/2024,6:58:15 PM,210
3/28/2024,6:58:30 PM,265
3/28/2024,6:58:45 PM,359
3/28/2024,6:59:00 PM,456
3/28/2024,6:59:15 PM,18
3/28/2024,6:59:30 PM,96
3/28/2024,6:59:45 PM,622
3/28/2024,7:00:00 PM,445
3/28/2024,7:00:15 PM,549
3/28/2024,7:00:30 PM,147
3/28/2024,7:00:45 PM,26
3/28/2024,7:01:00 PM,0
3/28/2024,7:01:15 PM,0
3/28/2024,7:01:30 PM,0
3/28/2024,7:01:45 PM,0
3/28/2024,7:02:00 PM,0
3/28/2024,7:02:15 PM,0
3/28/2024,7:02:30 PM,0
3/28/2024,7:02:45 PM,149
3/28/2024,7:03:00 PM,195
3/28/2024,7:03:15 PM,122
3/28/2024,7:03:30 PM,64
3/28/2024,7:03:45 PM,0
3/28/2024,7:04:00 PM,7
3/28/2024,7:04:15 PM,0
3/28/2024,7:04:30 PM,0
3/28/2024,7:04:45 PM,39
3/28/2024,7:05:00 PM,0
3/28/2024,7:05:15 PM,65
3/28/2024,7:05:30 PM,47
3/28/2024,7:05:45 PM,26
3/28/2024,7:06:00 PM,0
3/28/2024,7:06:15 PM,137
3/28/2024,7:06:30 PM,731
3/28/2024,7:06:45 PM,407
3/28/2024,7:07:00 PM,178
3/28/2024,7:07:15 PM,131
3/28/2024,7:07:30 PM,54
3/28/2024,7:07:45 PM,0
3/28/2024,7:08:00 PM,4
3/28/2024,7:08:15 PM,34
3/28/2024,7:08:30 PM,75
3/28/2024,7:08:45 PM,0
3/28/2024,7:09:00 PM,0
3/28/2024,7:09:15 PM,225
3/28/2024,7:09:30 PM,29
3/28/2024,7:09:45 PM,0
3/28/2024,7:10:00 PM,37
3/28/2024,7:10:15 PM,0
3/28/2024,7:10:30 PM,23
3/28/2024,7:10:45 PM,6
3/28/2024,7:11:00 PM,0
3/28/2024,7:11:15 PM,26
3/28/2024,7:11:30 PM,454
3/28/2024,7:11:45 PM,361
3/28/2024,7:12:00 PM,441
3/28/2024,7:12:15 PM,158
3/28/2024,7:12:30 PM,278
3/28/2024,7:12:45 PM,309
3/28/2024,7:13:00 PM,885
3/28/2024,7:13:15 PM,439
3/28/2024,7:13:30 PM,251
3/28/2024,7:13:45 PM,245
3/28/2024,7:14:00 PM,176
3/28/2024,7:14:15 PM,382
3/28/2024,7:14:30 PM,415
3/28/2024,7:14:45 PM,257
3/28/2024,7:15:00 PM,199
3/28/2024,7:15:15 PM,378
3/28/2024,7:15:30 PM,355
3/28/2024,7:15:45 PM,296
3/28/2024,7:16:00 PM,313
3/28/2024,7:16:15 PM,327
