Date,Time,Activity (Triaxial-Counts)
3/26/2024,3:30:15 PM,45
3/26/2024,3:30:30 PM,47
3/26/2024,3:30:45 PM,44
3/26/2024,3:31:00 PM,98
3/26/2024,3:31:15 PM,74
3/26/2024,3:31:30 PM,55
3/26/2024,3:31:45 PM,14
3/26/2024,3:32:00 PM,74
3/26/2024,3:32:15 PM,56
3/26/2024,3:32:30 PM,22
3/26/2024,3:32:45 PM,14
3/26/2024,3:33:00 PM,452
3/26/2024,3:33:15 PM,452
3/26/2024,3:33:30 PM,41
3/26/2024,3:33:45 PM,205
3/26/2024,3:34:00 PM,404
3/26/2024,3:34:15 PM,99
3/26/2024,3:34:30 PM,470
3/26/2024,3:34:45 PM,103
3/26/2024,3:35:00 PM,9
3/26/2024,3:35:15 PM,102
3/26/2024,3:35:30 PM,71
3/26/2024,3:35:45 PM,149
3/26/2024,3:36:00 PM,105
3/26/2024,3:36:15 PM,18
3/26/2024,3:36:30 PM,103
3/26/2024,3:36:45 PM,175
3/26/2024,3:37:00 PM,69
3/26/2024,3:37:15 PM,199
3/26/2024,3:37:30 PM,39
3/26/2024,3:37:45 PM,79
3/26/2024,3:38:00 PM,55
3/26/2024,3:38:15 PM,0
3/26/2024,3:38:30 PM,0
3/26/2024,3:38:45 PM,185
3/26/2024,3:39:00 PM,46
3/26/2024,3:39:15 PM,0
3/26/2024,3:39:30 PM,0
3/26/2024,3:39:45 PM,0
3/26/2024,3:40:00 PM,0
3/26/2024,3:40:15 PM,12
3/26/2024,3:40:30 PM,177
3/26/2024,3:40:45 PM,118
3/26/2024,3:41:00 PM,236
3/26/2024,3:41:15 PM,169
3/26/2024,3:41:30 PM,100
3/26/2024,3:41:45 PM,26
3/26/2024,3:42:00 PM,158
3/26/2024,3:42:15 PM,132
3/26/2024,3:42:30 PM,277
3/26/2024,3:42:45 PM,169
3/26/2024,3:43:00 PM,134
3/26/2024,3:43:15 PM,51
3/26/2024,3:43:30 PM,439
3/26/2024,3:43:45 PM,320
3/26/2024,3:44:00 PM,87
3/26/2024,3:44:15 PM,102
3/26/2024,3:44:30 PM,230
3/26/2024,3:44:45 PM,44
3/26/2024,3:45:00 PM,24
3/26/2024,3:45:15 PM,193
3/26/2024,3:45:30 PM,117
3/26/2024,3:45:45 PM,131
3/26/2024,3:46:00 PM,27
3/26/2024,3:46:15 PM,37
3/26/2024,3:46:30 PM,216
3/26/2024,3:46:45 PM,155
3/26/2024,3:47:00 PM,184
3/26/2024,3:47:15 PM,0
3/26/2024,3:47:30 PM,7
3/26/2024,3:47:45 PM,0
3/26/2024,3:48:00 PM,0
3/26/2024,3:48:15 PM,0
3/26/2024,3:48:30 PM,4
3/26/2024,3:48:45 PM,0
3/26/2024,3:49:00 PM,26
3/26/2024,3:49:15 PM,7
3/26/2024,3:49:30 PM,83
3/26/2024,3:49:45 PM,0
3/26/2024,3:50:00 PM,0
3/26/2024,3:50:15 PM,0
3/26/2024,3:50:30 PM,0
3/26/2024,3:50:45 PM,0
3/26/2024,3:51:00 PM,0
3/26/2024,3:51:15 PM,0
3/26/2024,3:51:30 PM,0
3/26/2024,3:51:45 PM,0
3/26/2024,3:52:00 PM,0
3/26/2024,3:52:15 PM,0
3/26/2024,3:52:30 PM,76
3/26/2024,3:52:45 PM,0
3/26/2024,3:53:00 PM,17
3/26/2024,3:53:15 PM,0
3/26/2024,3:53:30 PM,0
3/26/2024,3:53:45 PM,0
3/26/2024,3:54:00 PM,53
3/26/2024,3:54:15 PM,0
3/26/2024,3:54:30 PM,0
3/26/2024,3:54:45 PM,0
3/26/2024,3:55:00 PM,0
3/26/2024,3:55:15 PM,51
3/26/2024,3:55:30 PM,0
3/26/2024,3:55:45 PM,0
3/26/2024,3:56:00 PM,68
3/26/2024,3:56:15 PM,0
3/26/2024,3:56:30 PM,0
3/26/2024,3:56:45 PM,0
3/26/2024,3:57:00 PM,0
3/26/2024,3:57:15 PM,315
3/26/2024,3:57:30 PM,21
3/26/2024,3:57:45 PM,43
3/26/2024,3:58:00 PM,0
3/26/2024,3:58:15 PM,15
3/26/2024,3:58:30 PM,34
3/26/2024,3:58:45 PM,0
3/26/2024,3:59:00 PM,10
3/26/2024,3:59:15 PM,0
3/26/2024,3:59:30 PM,0
3/26/2024,3:59:45 PM,217
3/26/2024,4:00:00 PM,229
3/26/2024,4:00:15 PM,246
3/26/2024,4:00:30 PM,337
3/26/2024,4:00:45 PM,228
3/26/2024,4:01:00 PM,114
3/26/2024,4:01:15 PM,152
3/26/2024,4:01:30 PM,37
3/26/2024,4:01:45 PM,94
3/26/2024,4:02:00 PM,255
3/26/2024,4:02:15 PM,124
3/26/2024,4:02:30 PM,54
3/26/2024,4:02:45 PM,81
3/26/2024,4:03:00 PM,39
3/26/2024,4:03:15 PM,102
3/26/2024,4:03:30 PM,76
3/26/2024,4:03:45 PM,216
3/26/2024,4:04:00 PM,154
3/26/2024,4:04:15 PM,300
3/26/2024,4:04:30 PM,7
3/26/2024,4:04:45 PM,198
3/26/2024,4:05:00 PM,127
3/26/2024,4:05:15 PM,172
3/26/2024,4:05:30 PM,143
3/26/2024,4:05:45 PM,389
3/26/2024,4:06:00 PM,178
3/26/2024,4:06:15 PM,40
3/26/2024,4:06:30 PM,0
3/26/2024,4:06:45 PM,31
3/26/2024,4:07:00 PM,17
3/26/2024,4:07:15 PM,0
3/26/2024,4:07:30 PM,35
3/26/2024,4:07:45 PM,164
3/26/2024,4:08:00 PM,11
3/26/2024,4:08:15 PM,0
3/26/2024,4:08:30 PM,0
3/26/2024,4:08:45 PM,7
3/26/2024,4:09:00 PM,79
3/26/2024,4:09:15 PM,262
3/26/2024,4:09:30 PM,9
3/26/2024,4:09:45 PM,0
3/26/2024,4:10:00 PM,19
3/26/2024,4:10:15 PM,60
3/26/2024,4:10:30 PM,46
3/26/2024,4:10:45 PM,0
3/26/2024,4:11:00 PM,9
3/26/2024,4:11:15 PM,0
3/26/2024,4:11:30 PM,4
3/26/2024,4:11:45 PM,0
3/26/2024,4:12:00 PM,34
3/26/2024,4:12:15 PM,303
3/26/2024,4:12:30 PM,454
3/26/2024,4:12:45 PM,251
3/26/2024,4:13:00 PM,82
3/26/2024,4:13:15 PM,403
3/26/2024,4:13:30 PM,354
3/26/2024,4:13:45 PM,78
3/26/2024,4:14:00 PM,239
3/26/2024,4:14:15 PM,156
3/26/2024,4:14:30 PM,26
3/26/2024,4:14:45 PM,212
3/26/2024,4:15:00 PM,228
3/26/2024,4:15:15 PM,327
3/26/2024,4:15:30 PM,341
3/26/2024,4:15:45 PM,225
3/26/2024,4:16:00 PM,68
3/26/2024,4:16:15 PM,90
3/26/2024,4:16:30 PM,426
3/26/2024,4:16:45 PM,163
3/26/2024,4:17:00 PM,6
3/26/2024,4:17:15 PM,214
3/26/2024,4:17:30 PM,122
3/26/2024,4:17:45 PM,184
3/26/2024,4:18:00 PM,151
3/26/2024,4:18:15 PM,162
3/26/2024,4:18:30 PM,253
3/26/2024,4:18:45 PM,211
3/26/2024,4:19:00 PM,131
3/26/2024,4:19:15 PM,228
3/26/2024,4:19:30 PM,97
3/26/2024,4:19:45 PM,63
3/26/2024,4:20:00 PM,246
3/26/2024,4:20:15 PM,113
3/26/2024,4:20:30 PM,371
3/26/2024,4:20:45 PM,310
3/26/2024,4:21:00 PM,154
3/26/2024,4:21:15 PM,0
3/26/2024,4:21:30 PM,0
3/26/2024,4:21:45 PM,0
3/26/2024,4:22:00 PM,19
3/26/2024,4:22:15 PM,0
3/26/2024,4:22:30 PM,9
3/26/2024,4:22:45 PM,0
3/26/2024,4:23:00 PM,5
3/26/2024,4:23:15 PM,12
3/26/2024,4:23:30 PM,4
3/26/2024,4:23:45 PM,0
3/26/2024,4:24:00 PM,0
3/26/2024,4:24:15 PM,60
3/26/2024,4:24:30 PM,0
3/26/2024,4:24:45 PM,0
3/26/2024,4:25:00 PM,0
3/26/2024,4:25:15 PM,533
3/26/2024,4:25:30 PM,27
3/26/2024,4:25:45 PM,46
3/26/2024,4:26:00 PM,15
3/26/2024,4:26:15 PM,103
3/26/2024,4:26:30 PM,85
3/26/2024,4:26:45 PM,54
3/26/2024,4:27:00 PM,50
3/26/2024,4:27:15 PM,9
3/26/2024,4:27:30 PM,41
3/26/2024,4:27:45 PM,230
3/26/2024,4:28:00 PM,56
3/26/2024,4:28:15 PM,12
3/26/2024,4:28:30 PM,24
3/26/2024,4:28:45 PM,168
3/26/2024,4:29:00 PM,148
3/26/2024,4:29:15 PM,0
3/26/2024,4:29:30 PM,0
3/26/2024,4:29:45 PM,0
3/26/2024,4:30:00 PM,0
3/26/2024,4:30:15 PM,0
3/26/2024,4:30:30 PM,14
3/26/2024,4:30:45 PM,0
3/26/2024,4:31:00 PM,0
3/26/2024,4:31:15 PM,0
3/26/2024,4:31:30 PM,150
