Date,Time,Activity (Triaxial-Counts)
3/23/2024,10:30:00 PM,78
3/23/2024,10:30:15 PM,25
3/23/2024,10:30:30 PM,14
3/23/2024,10:30:45 PM,114
3/23/2024,10:31:00 PM,224
3/23/2024,10:31:15 PM,14
3/23/2024,10:31:30 PM,339
3/23/2024,10:31:45 PM,201
3/23/2024,10:32:00 PM,318
3/23/2024,10:32:15 PM,82
3/23/2024,10:32:30 PM,191
3/23/2024,10:32:45 PM,244
3/23/2024,10:33:00 PM,48
3/23/2024,10:33:15 PM,164
3/23/2024,10:33:30 PM,187
3/23/2024,10:33:45 PM,225
3/23/2024,10:34:00 PM,537
3/23/2024,10:34:15 PM,814
3/23/2024,10:34:30 PM,25
3/23/2024,10:34:45 PM,60
3/23/2024,10:35:00 PM,100
3/23/2024,10:35:15 PM,195
3/23/2024,10:35:30 PM,35
3/23/2024,10:35:45 PM,27
3/23/2024,10:36:00 PM,47
3/23/2024,10:36:15 PM,107
3/23/2024,10:36:30 PM,0
3/23/2024,10:36:45 PM,0
3/23/2024,10:37:00 PM,0
3/23/2024,10:37:15 PM,52
3/23/2024,10:37:30 PM,28
3/23/2024,10:37:45 PM,35
3/23/2024,10:38:00 PM,14
3/23/2024,10:38:15 PM,169
3/23/2024,10:38:30 PM,33
3/23/2024,10:38:45 PM,46
3/23/2024,10:39:00 PM,80
3/23/2024,10:39:15 PM,162
3/23/2024,10:39:30 PM,108
3/23/2024,10:39:45 PM,184
3/23/2024,10:40:00 PM,152
3/23/2024,10:40:15 PM,65
3/23/2024,10:40:30 PM,79
3/23/2024,10:40:45 PM,111
3/23/2024,10:41:00 PM,109
3/23/2024,10:41:15 PM,99
3/23/2024,10:41:30 PM,0
3/23/2024,10:41:45 PM,99
3/23/2024,10:42:00 PM,196
3/23/2024,10:42:15 PM,121
3/23/2024,10:42:30 PM,50
3/23/2024,10:42:45 PM,97
3/23/2024,10:43:00 PM,101
3/23/2024,10:43:15 PM,122
3/23/2024,10:43:30 PM,508
3/23/2024,10:43:45 PM,157
3/23/2024,10:44:00 PM,0
3/23/2024,10:44:15 PM,133
3/23/2024,10:44:30 PM,100
3/23/2024,10:44:45 PM,105
3/23/2024,10:45:00 PM,199
3/23/2024,10:45:15 PM,96
3/23/2024,10:45:30 PM,199
3/23/2024,10:45:45 PM,230
3/23/2024,10:46:00 PM,334
3/23/2024,10:46:15 PM,437
3/23/2024,10:46:30 PM,32
3/23/2024,10:46:45 PM,14
3/23/2024,10:47:00 PM,146
3/23/2024,10:47:15 PM,0
3/23/2024,10:47:30 PM,61
3/23/2024,10:47:45 PM,83
3/23/2024,10:48:00 PM,155
3/23/2024,10:48:15 PM,75
3/23/2024,10:48:30 PM,9
3/23/2024,10:48:45 PM,311
3/23/2024,10:49:00 PM,306
3/23/2024,10:49:15 PM,347
3/23/2024,10:49:30 PM,156
3/23/2024,10:49:45 PM,55
3/23/2024,10:50:00 PM,267
3/23/2024,10:50:15 PM,102
3/23/2024,10:50:30 PM,41
3/23/2024,10:50:45 PM,92
3/23/2024,10:51:00 PM,102
3/23/2024,10:51:15 PM,41
3/23/2024,10:51:30 PM,118
3/23/2024,10:51:45 PM,116
3/23/2024,10:52:00 PM,168
3/23/2024,10:52:15 PM,51
3/23/2024,10:52:30 PM,5
3/23/2024,10:52:45 PM,194
3/23/2024,10:53:00 PM,71
3/23/2024,10:53:15 PM,80
3/23/2024,10:53:30 PM,18
3/23/2024,10:53:45 PM,0
3/23/2024,10:54:00 PM,0
3/23/2024,10:54:15 PM,72
3/23/2024,10:54:30 PM,157
3/23/2024,10:54:45 PM,51
3/23/2024,10:55:00 PM,106
3/23/2024,10:55:15 PM,29
3/23/2024,10:55:30 PM,36
3/23/2024,10:55:45 PM,53
3/23/2024,10:56:00 PM,38
3/23/2024,10:56:15 PM,17
3/23/2024,10:56:30 PM,0
3/23/2024,10:56:45 PM,0
3/23/2024,10:57:00 PM,67
3/23/2024,10:57:15 PM,25
3/23/2024,10:57:30 PM,24
3/23/2024,10:57:45 PM,31
3/23/2024,10:58:00 PM,125
3/23/2024,10:58:15 PM,47
3/23/2024,10:58:30 PM,164
3/23/2024,10:58:45 PM,214
3/23/2024,10:59:00 PM,61
3/23/2024,10:59:15 PM,16
3/23/2024,10:59:30 PM,43
3/23/2024,10:59:45 PM,19
3/23/2024,11:00:00 PM,31
3/23/2024,11:00:15 PM,167
3/23/2024,11:00:30 PM,79
3/23/2024,11:00:45 PM,56
3/23/2024,11:01:00 PM,200
3/23/2024,11:01:15 PM,379
3/23/2024,11:01:30 PM,204
3/23/2024,11:01:45 PM,172
3/23/2024,11:02:00 PM,185
3/23/2024,11:02:15 PM,36
3/23/2024,11:02:30 PM,79
3/23/2024,11:02:45 PM,135
3/23/2024,11:03:00 PM,169
3/23/2024,11:03:15 PM,103
3/23/2024,11:03:30 PM,64
3/23/2024,11:03:45 PM,89
3/23/2024,11:04:00 PM,41
3/23/2024,11:04:15 PM,32
3/23/2024,11:04:30 PM,62
3/23/2024,11:04:45 PM,0
3/23/2024,11:05:00 PM,122
3/23/2024,11:05:15 PM,47
3/23/2024,11:05:30 PM,29
3/23/2024,11:05:45 PM,43
3/23/2024,11:06:00 PM,94
3/23/2024,11:06:15 PM,115
3/23/2024,11:06:30 PM,94
3/23/2024,11:06:45 PM,33
3/23/2024,11:07:00 PM,19
3/23/2024,11:07:15 PM,0
3/23/2024,11:07:30 PM,0
3/23/2024,11:07:45 PM,0
3/23/2024,11:08:00 PM,0
3/23/2024,11:08:15 PM,0
3/23/2024,11:08:30 PM,6
3/23/2024,11:08:45 PM,0
3/23/2024,11:09:00 PM,0
3/23/2024,11:09:15 PM,24
3/23/2024,11:09:30 PM,0
3/23/2024,11:09:45 PM,16
3/23/2024,11:10:00 PM,123
3/23/2024,11:10:15 PM,16
3/23/2024,11:10:30 PM,93
3/23/2024,11:10:45 PM,116
3/23/2024,11:11:00 PM,22
3/23/2024,11:11:15 PM,25
3/23/2024,11:11:30 PM,39
3/23/2024,11:11:45 PM,78
3/23/2024,11:12:00 PM,145
3/23/2024,11:12:15 PM,129
3/23/2024,11:12:30 PM,134
3/23/2024,11:12:45 PM,90
3/23/2024,11:13:00 PM,212
3/23/2024,11:13:15 PM,59
3/23/2024,11:13:30 PM,0
3/23/2024,11:13:45 PM,0
3/23/2024,11:14:00 PM,71
3/23/2024,11:14:15 PM,127
3/23/2024,11:14:30 PM,22
3/23/2024,11:14:45 PM,64
3/23/2024,11:15:00 PM,39
3/23/2024,11:15:15 PM,21
3/23/2024,11:15:30 PM,0
3/23/2024,11:15:45 PM,40
3/23/2024,11:16:00 PM,29
3/23/2024,11:16:15 PM,62
3/23/2024,11:16:30 PM,27
3/23/2024,11:16:45 PM,65
3/23/2024,11:17:00 PM,21
3/23/2024,11:17:15 PM,91
3/23/2024,11:17:30 PM,41
3/23/2024,11:17:45 PM,0
3/23/2024,11:18:00 PM,54
3/23/2024,11:18:15 PM,110
3/23/2024,11:18:30 PM,114
3/23/2024,11:18:45 PM,102
3/23/2024,11:19:00 PM,122
3/23/2024,11:19:15 PM,98
3/23/2024,11:19:30 PM,113
3/23/2024,11:19:45 PM,61
3/23/2024,11:20:00 PM,0
3/23/2024,11:20:15 PM,8
3/23/2024,11:20:30 PM,119
3/23/2024,11:20:45 PM,149
3/23/2024,11:21:00 PM,60
3/23/2024,11:21:15 PM,39
3/23/2024,11:21:30 PM,90
3/23/2024,11:21:45 PM,75
3/23/2024,11:22:00 PM,29
3/23/2024,11:22:15 PM,83
3/23/2024,11:22:30 PM,122
3/23/2024,11:22:45 PM,28
3/23/2024,11:23:00 PM,45
3/23/2024,11:23:15 PM,72
3/23/2024,11:23:30 PM,19
3/23/2024,11:23:45 PM,0
3/23/2024,11:24:00 PM,32
3/23/2024,11:24:15 PM,72
3/23/2024,11:24:30 PM,107
3/23/2024,11:24:45 PM,96
3/23/2024,11:25:00 PM,12
3/23/2024,11:25:15 PM,155
3/23/2024,11:25:30 PM,50
3/23/2024,11:25:45 PM,28
3/23/2024,11:26:00 PM,4
3/23/2024,11:26:15 PM,27
3/23/2024,11:26:30 PM,16
3/23/2024,11:26:45 PM,218
3/23/2024,11:27:00 PM,110
3/23/2024,11:27:15 PM,70
3/23/2024,11:27:30 PM,47
3/23/2024,11:27:45 PM,134
3/23/2024,11:28:00 PM,87
3/23/2024,11:28:15 PM,134
3/23/2024,11:28:30 PM,121
3/23/2024,11:28:45 PM,31
3/23/2024,11:29:00 PM,36
3/23/2024,11:29:15 PM,0
3/23/2024,11:29:30 PM,0
3/23/2024,11:29:45 PM,81
3/23/2024,11:30:00 PM,31
3/23/2024,11:30:15 PM,116
3/23/2024,11:30:30 PM,80
3/23/2024,11:30:45 PM,167
3/23/2024,11:31:00 PM,66
3/23/2024,11:31:15 PM,72
3/23/2024,11:31:30 PM,38
3/23/2024,11:31:45 PM,196
3/23/2024,11:32:00 PM,183
3/23/2024,11:32:15 PM,65
3/23/2024,11:32:30 PM,61
3/23/2024,11:32:45 PM,13
3/23/2024,11:33:00 PM,123
3/23/2024,11:33:15 PM,284
3/23/2024,11:33:30 PM,108
3/23/2024,11:33:45 PM,47
3/23/2024,11:34:00 PM,14
3/23/2024,11:34:15 PM,161
3/23/2024,11:34:30 PM,209
3/23/2024,11:34:45 PM,166
3/23/2024,11:35:00 PM,90
3/23/2024,11:35:15 PM,276
3/23/2024,11:35:30 PM,226
3/23/2024,11:35:45 PM,351
3/23/2024,11:36:00 PM,88
3/23/2024,11:36:15 PM,427
3/23/2024,11:36:30 PM,203
3/23/2024,11:36:45 PM,84
3/23/2024,11:37:00 PM,148
