Date,Time,Activity (Triaxial-Counts)
3/28/2024,2:00:00 AM,51
3/28/2024,2:00:15 AM,0
3/28/2024,2:00:30 AM,58
3/28/2024,2:00:45 AM,132
3/28/2024,2:01:00 AM,22
3/28/2024,2:01:15 AM,143
3/28/2024,2:01:30 AM,7
3/28/2024,2:01:45 AM,4
3/28/2024,2:02:00 AM,5
3/28/2024,2:02:15 AM,9
3/28/2024,2:02:30 AM,5
3/28/2024,2:02:45 AM,0
3/28/2024,2:03:00 AM,99
3/28/2024,2:03:15 AM,0
3/28/2024,2:03:30 AM,7
3/28/2024,2:03:45 AM,54
3/28/2024,2:04:00 AM,0
3/28/2024,2:04:15 AM,0
3/28/2024,2:04:30 AM,0
3/28/2024,2:04:45 AM,0
3/28/2024,2:05:00 AM,0
3/28/2024,2:05:15 AM,104
3/28/2024,2:05:30 AM,49
3/28/2024,2:05:45 AM,0
3/28/2024,2:06:00 AM,0
3/28/2024,2:06:15 AM,230
3/28/2024,2:06:30 AM,136
3/28/2024,2:06:45 AM,84
3/28/2024,2:07:00 AM,306
3/28/2024,2:07:15 AM,296
3/28/2024,2:07:30 AM,258
3/28/2024,2:07:45 AM,199
3/28/2024,2:08:00 AM,170
3/28/2024,2:08:15 AM,227
3/28/2024,2:08:30 AM,280
3/28/2024,2:08:45 AM,60
3/28/2024,2:09:00 AM,146
3/28/2024,2:09:15 AM,0
3/28/2024,2:09:30 AM,26
3/28/2024,2:09:45 AM,65
3/28/2024,2:10:00 AM,98
3/28/2024,2:10:15 AM,39
3/28/2024,2:10:30 AM,0
3/28/2024,2:10:45 AM,0
3/28/2024,2:11:00 AM,0
3/28/2024,2:11:15 AM,47
3/28/2024,2:11:30 AM,0
3/28/2024,2:11:45 AM,20
3/28/2024,2:12:00 AM,105
3/28/2024,2:12:15 AM,36
3/28/2024,2:12:30 AM,361
3/28/2024,2:12:45 AM,0
3/28/2024,2:13:00 AM,0
3/28/2024,2:13:15 AM,0
3/28/2024,2:13:30 AM,0
3/28/2024,2:13:45 AM,42
3/28/2024,2:14:00 AM,145
3/28/2024,2:14:15 AM,5
3/28/2024,2:14:30 AM,0
3/28/2024,2:14:45 AM,4
3/28/2024,2:15:00 AM,0
3/28/2024,2:15:15 AM,0
3/28/2024,2:15:30 AM,0
3/28/2024,2:15:45 AM,0
3/28/2024,2:16:00 AM,0
3/28/2024,2:16:15 AM,0
3/28/2024,2:16:30 AM,0
3/28/2024,2:16:45 AM,0
3/28/2024,2:17:00 AM,0
3/28/2024,2:17:15 AM,0
3/28/2024,2:17:30 AM,0
3/28/2024,2:17:45 AM,0
3/28/2024,2:18:00 AM,0
3/28/2024,2:18:15 AM,0
3/28/2024,2:18:30 AM,0
3/28/2024,2:18:45 AM,86
3/28/2024,2:19:00 AM,0
3/28/2024,2:19:15 AM,0
3/28/2024,2:19:30 AM,0
3/28/2024,2:19:45 AM,0
3/28/2024,2:20:00 AM,0
3/28/2024,2:20:15 AM,35
3/28/2024,2:20:30 AM,43
3/28/2024,2:20:45 AM,0
3/28/2024,2:21:00 AM,0
3/28/2024,2:21:15 AM,0
3/28/2024,2:21:30 AM,0
3/28/2024,2:21:45 AM,191
3/28/2024,2:22:00 AM,0
3/28/2024,2:22:15 AM,0
3/28/2024,2:22:30 AM,53
3/28/2024,2:22:45 AM,253
3/28/2024,2:23:00 AM,0
3/28/2024,2:23:15 AM,42
3/28/2024,2:23:30 AM,9
3/28/2024,2:23:45 AM,128
3/28/2024,2:24:00 AM,70
3/28/2024,2:24:15 AM,164
3/28/2024,2:24:30 AM,477
3/28/2024,2:24:45 AM,768
3/28/2024,2:25:00 AM,192
3/28/2024,2:25:15 AM,261
3/28/2024,2:25:30 AM,209
3/28/2024,2:25:45 AM,0
3/28/2024,2:26:00 AM,4
3/28/2024,2:26:15 AM,0
3/28/2024,2:26:30 AM,0
3/28/2024,2:26:45 AM,0
3/28/2024,2:27:00 AM,0
3/28/2024,2:27:15 AM,0
3/28/2024,2:27:30 AM,0
3/28/2024,2:27:45 AM,0
3/28/2024,2:28:00 AM,0
3/28/2024,2:28:15 AM,5
3/28/2024,2:28:30 AM,0
3/28/2024,2:28:45 AM,277
3/28/2024,2:29:00 AM,0
3/28/2024,2:29:15 AM,0
3/28/2024,2:29:30 AM,21
3/28/2024,2:29:45 AM,16
3/28/2024,2:30:00 AM,417
3/28/2024,2:30:15 AM,464
3/28/2024,2:30:30 AM,334
3/28/2024,2:30:45 AM,399
3/28/2024,2:31:00 AM,35
3/28/2024,2:31:15 AM,188
3/28/2024,2:31:30 AM,89
3/28/2024,2:31:45 AM,11
3/28/2024,2:32:00 AM,95
3/28/2024,2:32:15 AM,0
3/28/2024,2:32:30 AM,128
3/28/2024,2:32:45 AM,86
3/28/2024,2:33:00 AM,0
3/28/2024,2:33:15 AM,122
3/28/2024,2:33:30 AM,186
3/28/2024,2:33:45 AM,98
3/28/2024,2:34:00 AM,0
3/28/2024,2:34:15 AM,0
3/28/2024,2:34:30 AM,0
3/28/2024,2:34:45 AM,303
3/28/2024,2:35:00 AM,370
3/28/2024,2:35:15 AM,391
3/28/2024,2:35:30 AM,73
3/28/2024,2:35:45 AM,321
3/28/2024,2:36:00 AM,476
3/28/2024,2:36:15 AM,67
3/28/2024,2:36:30 AM,6
3/28/2024,2:36:45 AM,0
3/28/2024,2:37:00 AM,90
3/28/2024,2:37:15 AM,4
3/28/2024,2:37:30 AM,0
3/28/2024,2:37:45 AM,0
3/28/2024,2:38:00 AM,183
3/28/2024,2:38:15 AM,0
3/28/2024,2:38:30 AM,0
3/28/2024,2:38:45 AM,48
3/28/2024,2:39:00 AM,96
3/28/2024,2:39:15 AM,9
3/28/2024,2:39:30 AM,0
3/28/2024,2:39:45 AM,77
3/28/2024,2:40:00 AM,0
3/28/2024,2:40:15 AM,112
3/28/2024,2:40:30 AM,0
3/28/2024,2:40:45 AM,0
3/28/2024,2:41:00 AM,0
3/28/2024,2:41:15 AM,0
3/28/2024,2:41:30 AM,84
3/28/2024,2:41:45 AM,0
3/28/2024,2:42:00 AM,0
3/28/2024,2:42:15 AM,0
3/28/2024,2:42:30 AM,54
3/28/2024,2:42:45 AM,0
3/28/2024,2:43:00 AM,71
3/28/2024,2:43:15 AM,0
3/28/2024,2:43:30 AM,0
3/28/2024,2:43:45 AM,9
3/28/2024,2:44:00 AM,157
3/28/2024,2:44:15 AM,0
3/28/2024,2:44:30 AM,0
3/28/2024,2:44:45 AM,0
3/28/2024,2:45:00 AM,4
3/28/2024,2:45:15 AM,0
3/28/2024,2:45:30 AM,0
3/28/2024,2:45:45 AM,48
3/28/2024,2:46:00 AM,14
3/28/2024,2:46:15 AM,0
3/28/2024,2:46:30 AM,0
3/28/2024,2:46:45 AM,0
3/28/2024,2:47:00 AM,0
3/28/2024,2:47:15 AM,41
3/28/2024,2:47:30 AM,53
3/28/2024,2:47:45 AM,181
3/28/2024,2:48:00 AM,9
3/28/2024,2:48:15 AM,24
3/28/2024,2:48:30 AM,138
3/28/2024,2:48:45 AM,68
3/28/2024,2:49:00 AM,12
3/28/2024,2:49:15 AM,49
3/28/2024,2:49:30 AM,110
3/28/2024,2:49:45 AM,8
3/28/2024,2:50:00 AM,12
3/28/2024,2:50:15 AM,0
3/28/2024,2:50:30 AM,0
3/28/2024,2:50:45 AM,0
3/28/2024,2:51:00 AM,0
3/28/2024,2:51:15 AM,0
3/28/2024,2:51:30 AM,0
3/28/2024,2:51:45 AM,8
3/28/2024,2:52:00 AM,66
3/28/2024,2:52:15 AM,0
3/28/2024,2:52:30 AM,0
3/28/2024,2:52:45 AM,32
3/28/2024,2:53:00 AM,67
3/28/2024,2:53:15 AM,0
3/28/2024,2:53:30 AM,0
3/28/2024,2:53:45 AM,117
3/28/2024,2:54:00 AM,0
3/28/2024,2:54:15 AM,0
3/28/2024,2:54:30 AM,0
3/28/2024,2:54:45 AM,47
3/28/2024,2:55:00 AM,0
3/28/2024,2:55:15 AM,0
3/28/2024,2:55:30 AM,0
3/28/2024,2:55:45 AM,0
3/28/2024,2:56:00 AM,0
3/28/2024,2:56:15 AM,0
3/28/2024,2:56:30 AM,0
3/28/2024,2:56:45 AM,351
3/28/2024,2:57:00 AM,412
3/28/2024,2:57:15 AM,380
3/28/2024,2:57:30 AM,149
3/28/2024,2:57:45 AM,477
3/28/2024,2:58:00 AM,0
3/28/2024,2:58:15 AM,0
