Date,Time,Activity (Triaxial-Counts)
3/25/2024,6:30:15 PM,47
3/25/2024,6:30:30 PM,47
3/25/2024,6:30:45 PM,549
3/25/2024,6:31:00 PM,383
3/25/2024,6:31:15 PM,44
3/25/2024,6:31:30 PM,323
3/25/2024,6:31:45 PM,412
3/25/2024,6:32:00 PM,123
3/25/2024,6:32:15 PM,109
3/25/2024,6:32:30 PM,366
3/25/2024,6:32:45 PM,15
3/25/2024,6:33:00 PM,12
3/25/2024,6:33:15 PM,20
3/25/2024,6:33:30 PM,24
3/25/2024,6:33:45 PM,270
3/25/2024,6:34:00 PM,20
3/25/2024,6:34:15 PM,5
3/25/2024,6:34:30 PM,162
3/25/2024,6:34:45 PM,377
3/25/2024,6:35:00 PM,333
3/25/2024,6:35:15 PM,291
3/25/2024,6:35:30 PM,437
3/25/2024,6:35:45 PM,508
3/25/2024,6:36:00 PM,514
3/25/2024,6:36:15 PM,418
3/25/2024,6:36:30 PM,571
3/25/2024,6:36:45 PM,434
3/25/2024,6:37:00 PM,252
3/25/2024,6:37:15 PM,277
3/25/2024,6:37:30 PM,315
3/25/2024,6:37:45 PM,427
3/25/2024,6:38:00 PM,362
3/25/2024,6:38:15 PM,353
3/25/2024,6:38:30 PM,331
3/25/2024,6:38:45 PM,323
3/25/2024,6:39:00 PM,395
3/25/2024,6:39:15 PM,376
3/25/2024,6:39:30 PM,309
3/25/2024,6:39:45 PM,409
3/25/2024,6:40:00 PM,457
3/25/2024,6:40:15 PM,370
3/25/2024,6:40:30 PM,488
3/25/2024,6:40:45 PM,347
3/25/2024,6:41:00 PM,438
3/25/2024,6:41:15 PM,426
3/25/2024,6:41:30 PM,246
3/25/2024,6:41:45 PM,1899
3/25/2024,6:42:00 PM,551
3/25/2024,6:42:15 PM,260
3/25/2024,6:42:30 PM,186
3/25/2024,6:42:45 PM,238
3/25/2024,6:43:00 PM,368
3/25/2024,6:43:15 PM,149
3/25/2024,6:43:30 PM,435
3/25/2024,6:43:45 PM,357
3/25/2024,6:44:00 PM,245
3/25/2024,6:44:15 PM,152
3/25/2024,6:44:30 PM,119
3/25/2024,6:44:45 PM,96
3/25/2024,6:45:00 PM,0
3/25/2024,6:45:15 PM,0
3/25/2024,6:45:30 PM,178
3/25/2024,6:45:45 PM,123
3/25/2024,6:46:00 PM,209
3/25/2024,6:46:15 PM,65
3/25/2024,6:46:30 PM,95
3/25/2024,6:46:45 PM,21
3/25/2024,6:47:00 PM,17
3/25/2024,6:47:15 PM,0
3/25/2024,6:47:30 PM,46
3/25/2024,6:47:45 PM,53
3/25/2024,6:48:00 PM,253
3/25/2024,6:48:15 PM,66
3/25/2024,6:48:30 PM,156
3/25/2024,6:48:45 PM,353
3/25/2024,6:49:00 PM,238
3/25/2024,6:49:15 PM,257
3/25/2024,6:49:30 PM,32
3/25/2024,6:49:45 PM,79
3/25/2024,6:50:00 PM,6
3/25/2024,6:50:15 PM,136
3/25/2024,6:50:30 PM,0
3/25/2024,6:50:45 PM,0
3/25/2024,6:51:00 PM,129
3/25/2024,6:51:15 PM,75
3/25/2024,6:51:30 PM,16
3/25/2024,6:51:45 PM,53
3/25/2024,6:52:00 PM,86
3/25/2024,6:52:15 PM,226
3/25/2024,6:52:30 PM,6
3/25/2024,6:52:45 PM,0
3/25/2024,6:53:00 PM,144
3/25/2024,6:53:15 PM,370
3/25/2024,6:53:30 PM,34
3/25/2024,6:53:45 PM,39
3/25/2024,6:54:00 PM,221
3/25/2024,6:54:15 PM,141
3/25/2024,6:54:30 PM,50
3/25/2024,6:54:45 PM,0
3/25/2024,6:55:00 PM,126
3/25/2024,6:55:15 PM,0
3/25/2024,6:55:30 PM,76
3/25/2024,6:55:45 PM,10
3/25/2024,6:56:00 PM,107
3/25/2024,6:56:15 PM,199
3/25/2024,6:56:30 PM,0
3/25/2024,6:56:45 PM,0
3/25/2024,6:57:00 PM,0
3/25/2024,6:57:15 PM,0
3/25/2024,6:57:30 PM,0
3/25/2024,6:57:45 PM,0
3/25/2024,6:58:00 PM,0
3/25/2024,6:58:15 PM,0
3/25/2024,6:58:30 PM,0
3/25/2024,6:58:45 PM,0
3/25/2024,6:59:00 PM,0
3/25/2024,6:59:15 PM,0
3/25/2024,6:59:30 PM,0
3/25/2024,6:59:45 PM,0
3/25/2024,7:00:00 PM,0
3/25/2024,7:00:15 PM,0
3/25/2024,7:00:30 PM,0
3/25/2024,7:00:45 PM,0
3/25/2024,7:01:00 PM,0
3/25/2024,7:01:15 PM,0
3/25/2024,7:01:30 PM,0
3/25/2024,7:01:45 PM,0
3/25/2024,7:02:00 PM,0
3/25/2024,7:02:15 PM,0
3/25/2024,7:02:30 PM,0
3/25/2024,7:02:45 PM,0
