Date,Time,Activity (Triaxial-Counts),Light (lux)
3/30/2024,1:01:15 AM,40,
3/30/2024,1:01:30 AM,17,
3/30/2024,1:01:45 AM,20,
3/30/2024,1:02:00 AM,0,
3/30/2024,1:02:15 AM,0,
3/30/2024,1:02:30 AM,41,
3/30/2024,1:02:45 AM,0,
3/30/2024,1:03:00 AM,83,
3/30/2024,1:03:15 AM,50,
3/30/2024,1:03:30 AM,0,
3/30/2024,1:03:45 AM,217,
3/30/2024,1:04:00 AM,0,
3/30/2024,1:04:15 AM,23,
3/30/2024,1:04:30 AM,108,
3/30/2024,1:04:45 AM,108,
3/30/2024,1:05:00 AM,0,
3/30/2024,1:05:15 AM,0,
3/30/2024,1:05:30 AM,6,
3/30/2024,1:05:45 AM,0,
3/30/2024,1:06:00 AM,102,
3/30/2024,1:06:15 AM,198,
3/30/2024,1:06:30 AM,43,
3/30/2024,1:06:45 AM,60,
3/30/2024,1:07:00 AM,0,
3/30/2024,1:07:15 AM,0,
3/30/2024,1:07:30 AM,0,
3/30/2024,1:07:45 AM,22,
3/30/2024,1:08:00 AM,323,
3/30/2024,1:08:15 AM,44,
3/30/2024,1:08:30 AM,268,
3/30/2024,1:08:45 AM,178,
3/30/2024,1:09:00 AM,36,
3/30/2024,1:09:15 AM,92,
3/30/2024,1:09:30 AM,29,
3/30/2024,1:09:45 AM,29,
3/30/2024,1:10:00 AM,0,
3/30/2024,1:10:15 AM,33,
3/30/2024,1:10:30 AM,79,
3/30/2024,1:10:45 AM,6,
3/30/2024,1:11:00 AM,0,
3/30/2024,1:11:15 AM,71,
3/30/2024,1:11:30 AM,5,
3/30/2024,1:11:45 AM,0,
3/30/2024,1:12:00 AM,0,
3/30/2024,1:12:15 AM,71,
3/30/2024,1:12:30 AM,101,
3/30/2024,1:12:45 AM,0,
3/30/2024,1:13:00 AM,0,
3/30/2024,1:13:15 AM,0,
3/30/2024,1:13:30 AM,49,
3/30/2024,1:13:45 AM,207,
3/30/2024,1:14:00 AM,48,
3/30/2024,1:14:15 AM,77,
3/30/2024,1:14:30 AM,14,
3/30/2024,1:14:45 AM,0,
3/30/2024,1:15:00 AM,24,
3/30/2024,1:15:15 AM,0,
3/30/2024,1:15:30 AM,33,
3/30/2024,1:15:45 AM,89,
3/30/2024,1:16:00 AM,0,
3/30/2024,1:16:15 AM,136,
3/30/2024,1:16:30 AM,0,
3/30/2024,1:16:45 AM,0,
3/30/2024,1:17:00 AM,0,
3/30/2024,1:17:15 AM,86,
3/30/2024,1:17:30 AM,68,
3/30/2024,1:17:45 AM,0,
3/30/2024,1:18:00 AM,0,
3/30/2024,1:18:15 AM,0,
3/30/2024,1:18:30 AM,32,
3/30/2024,1:18:45 AM,18,
3/30/2024,1:19:00 AM,0,
3/30/2024,1:19:15 AM,89,
3/30/2024,1:19:30 AM,7,
3/30/2024,1:19:45 AM,0,
3/30/2024,1:20:00 AM,0,
3/30/2024,1:20:15 AM,0,
3/30/2024,1:20:30 AM,0,
3/30/2024,1:20:45 AM,117,
3/30/2024,1:21:00 AM,69,
3/30/2024,1:21:15 AM,0,
3/30/2024,1:21:30 AM,89,
3/30/2024,1:21:45 AM,14,
3/30/2024,1:22:00 AM,74,
3/30/2024,1:22:15 AM,0,
3/30/2024,1:22:30 AM,0,
3/30/2024,1:22:45 AM,0,
3/30/2024,1:23:00 AM,0,
3/30/2024,1:23:15 AM,0,
3/30/2024,1:23:30 AM,273,
3/30/2024,1:23:45 AM,36,
3/30/2024,1:24:00 AM,0,
3/30/2024,1:24:15 AM,0,
3/30/2024,1:24:30 AM,0,
3/30/2024,1:24:45 AM,22,
3/30/2024,1:25:00 AM,76,
3/30/2024,1:25:15 AM,17,
3/30/2024,1:25:30 AM,0,
3/30/2024,1:25:45 AM,0,
3/30/2024,1:26:00 AM,31,
3/30/2024,1:26:15 AM,0,
3/30/2024,1:26:30 AM,0,
3/30/2024,1:26:45 AM,0,
3/30/2024,1:27:00 AM,31,
3/30/2024,1:27:15 AM,8,
3/30/2024,1:27:30 AM,53,
3/30/2024,1:27:45 AM,170,
3/30/2024,1:28:00 AM,314,
3/30/2024,1:28:15 AM,15,
3/30/2024,1:28:30 AM,0,
3/30/2024,1:28:45 AM,119,
3/30/2024,1:29:00 AM,4,
3/30/2024,1:29:15 AM,0,
3/30/2024,1:29:30 AM,4,
3/30/2024,1:29:45 AM,0,
3/30/2024,1:30:00 AM,6,
3/30/2024,1:30:15 AM,9,
3/30/2024,1:30:30 AM,16,
3/30/2024,1:30:45 AM,93,
3/30/2024,1:31:00 AM,22,
3/30/2024,1:31:15 AM,7,
3/30/2024,1:31:30 AM,22,
3/30/2024,1:31:45 AM,49,
3/30/2024,1:32:00 AM,0,
3/30/2024,1:32:15 AM,0,
3/30/2024,1:32:30 AM,11,
3/30/2024,1:32:45 AM,21,
3/30/2024,1:33:00 AM,0,
3/30/2024,1:33:15 AM,0,
3/30/2024,1:33:30 AM,29,
3/30/2024,1:33:45 AM,49,
3/30/2024,1:34:00 AM,66,
3/30/2024,1:34:15 AM,167,
3/30/2024,1:34:30 AM,255,
3/30/2024,1:34:45 AM,168,
3/30/2024,1:35:00 AM,111,
3/30/2024,1:35:15 AM,121,
3/30/2024,1:35:30 AM,517,
3/30/2024,1:35:45 AM,47,
3/30/2024,1:36:00 AM,0,
3/30/2024,1:36:15 AM,0,
3/30/2024,1:36:30 AM,49,
3/30/2024,1:36:45 AM,0,
3/30/2024,1:37:00 AM,0,
3/30/2024,1:37:15 AM,0,
3/30/2024,1:37:30 AM,0,
3/30/2024,1:37:45 AM,0,
3/30/2024,1:38:00 AM,0,
3/30/2024,1:38:15 AM,119,
3/30/2024,1:38:30 AM,43,
3/30/2024,1:38:45 AM,72,
3/30/2024,1:39:00 AM,53,
3/30/2024,1:39:15 AM,0,
3/30/2024,1:39:30 AM,21,
3/30/2024,1:39:45 AM,136,
3/30/2024,1:40:00 AM,0,
3/30/2024,1:40:15 AM,0,
3/30/2024,1:40:30 AM,54,
3/30/2024,1:40:45 AM,41,
3/30/2024,1:41:00 AM,47,
3/30/2024,1:41:15 AM,62,
3/30/2024,1:41:30 AM,0,
3/30/2024,1:41:45 AM,0,
3/30/2024,1:42:00 AM,0,
3/30/2024,1:42:15 AM,0,
3/30/2024,1:42:30 AM,42,
3/30/2024,1:42:45 AM,49,
3/30/2024,1:43:00 AM,13,
3/30/2024,1:43:15 AM,0,
3/30/2024,1:43:30 AM,0,
3/30/2024,1:43:45 AM,15,
3/30/2024,1:44:00 AM,228,
3/30/2024,1:44:15 AM,202,
3/30/2024,1:44:30 AM,0,
3/30/2024,1:44:45 AM,12,
3/30/2024,1:45:00 AM,21,
3/30/2024,1:45:15 AM,4,
