Date,Time,Activity (Triaxial-Counts)
3/28/2024,8:10:15 PM,0
3/28/2024,8:10:30 PM,0
3/28/2024,8:10:45 PM,0
3/28/2024,8:11:00 PM,0
3/28/2024,8:11:15 PM,0
3/28/2024,8:11:30 PM,0
3/28/2024,8:11:45 PM,0
3/28/2024,8:12:00 PM,6
3/28/2024,8:12:15 PM,0
3/28/2024,8:12:30 PM,0
3/28/2024,8:12:45 PM,77
3/28/2024,8:13:00 PM,64
3/28/2024,8:13:15 PM,236
3/28/2024,8:13:30 PM,222
3/28/2024,8:13:45 PM,144
3/28/2024,8:14:00 PM,96
3/28/2024,8:14:15 PM,0
3/28/2024,8:14:30 PM,84
3/28/2024,8:14:45 PM,320
3/28/2024,8:15:00 PM,18
3/28/2024,8:15:15 PM,34
3/28/2024,8:15:30 PM,0
3/28/2024,8:15:45 PM,0
3/28/2024,8:16:00 PM,0
3/28/2024,8:16:15 PM,0
3/28/2024,8:16:30 PM,170
3/28/2024,8:16:45 PM,234
3/28/2024,8:17:00 PM,17
3/28/2024,8:17:15 PM,0
3/28/2024,8:17:30 PM,0
3/28/2024,8:17:45 PM,0
3/28/2024,8:18:00 PM,0
3/28/2024,8:18:15 PM,0
3/28/2024,8:18:30 PM,0
3/28/2024,8:18:45 PM,0
3/28/2024,8:19:00 PM,0
3/28/2024,8:19:15 PM,64
3/28/2024,8:19:30 PM,79
3/28/2024,8:19:45 PM,0
3/28/2024,8:20:00 PM,0
3/28/2024,8:20:15 PM,0
3/28/2024,8:20:30 PM,0
3/28/2024,8:20:45 PM,0
3/28/2024,8:21:00 PM,0
3/28/2024,8:21:15 PM,0
3/28/2024,8:21:30 PM,66
3/28/2024,8:21:45 PM,685
3/28/2024,8:22:00 PM,1228
3/28/2024,8:22:15 PM,192
3/28/2024,8:22:30 PM,39
3/28/2024,8:22:45 PM,135
3/28/2024,8:23:00 PM,25
3/28/2024,8:23:15 PM,106
3/28/2024,8:23:30 PM,229
3/28/2024,8:23:45 PM,136
3/28/2024,8:24:00 PM,120
3/28/2024,8:24:15 PM,310
3/28/2024,8:24:30 PM,81
3/28/2024,8:24:45 PM,124
3/28/2024,8:25:00 PM,134
3/28/2024,8:25:15 PM,172
3/28/2024,8:25:30 PM,52
3/28/2024,8:25:45 PM,0
3/28/2024,8:26:00 PM,109
3/28/2024,8:26:15 PM,194
3/28/2024,8:26:30 PM,619
3/28/2024,8:26:45 PM,152
3/28/2024,8:27:00 PM,489
3/28/2024,8:27:15 PM,560
3/28/2024,8:27:30 PM,366
3/28/2024,8:27:45 PM,98
3/28/2024,8:28:00 PM,222
3/28/2024,8:28:15 PM,0
3/28/2024,8:28:30 PM,10
3/28/2024,8:28:45 PM,158
3/28/2024,8:29:00 PM,136
3/28/2024,8:29:15 PM,264
3/28/2024,8:29:30 PM,37
3/28/2024,8:29:45 PM,63
3/28/2024,8:30:00 PM,72
3/28/2024,8:30:15 PM,50
3/28/2024,8:30:30 PM,83
3/28/2024,8:30:45 PM,264
3/28/2024,8:31:00 PM,314
3/28/2024,8:31:15 PM,635
3/28/2024,8:31:30 PM,212
3/28/2024,8:31:45 PM,56
3/28/2024,8:32:00 PM,123
3/28/2024,8:32:15 PM,446
3/28/2024,8:32:30 PM,368
3/28/2024,8:32:45 PM,155
3/28/2024,8:33:00 PM,86
3/28/2024,8:33:15 PM,25
3/28/2024,8:33:30 PM,47
3/28/2024,8:33:45 PM,281
3/28/2024,8:34:00 PM,25
3/28/2024,8:34:15 PM,0
3/28/2024,8:34:30 PM,1103
3/28/2024,8:34:45 PM,83
3/28/2024,8:35:00 PM,264
3/28/2024,8:35:15 PM,11
3/28/2024,8:35:30 PM,144
3/28/2024,8:35:45 PM,895
3/28/2024,8:36:00 PM,537
3/28/2024,8:36:15 PM,239
3/28/2024,8:36:30 PM,213
3/28/2024,8:36:45 PM,26
3/28/2024,8:37:00 PM,45
3/28/2024,8:37:15 PM,4
3/28/2024,8:37:30 PM,10
3/28/2024,8:37:45 PM,94
3/28/2024,8:38:00 PM,5
3/28/2024,8:38:15 PM,138
3/28/2024,8:38:30 PM,61
3/28/2024,8:38:45 PM,45
3/28/2024,8:39:00 PM,383
3/28/2024,8:39:15 PM,1169
3/28/2024,8:39:30 PM,473
3/28/2024,8:39:45 PM,383
3/28/2024,8:40:00 PM,363
3/28/2024,8:40:15 PM,415
3/28/2024,8:40:30 PM,613
3/28/2024,8:40:45 PM,684
3/28/2024,8:41:00 PM,523
3/28/2024,8:41:15 PM,361
3/28/2024,8:41:30 PM,116
3/28/2024,8:41:45 PM,69
3/28/2024,8:42:00 PM,58
3/28/2024,8:42:15 PM,240
3/28/2024,8:42:30 PM,59
3/28/2024,8:42:45 PM,29
3/28/2024,8:43:00 PM,102
