Date,Time,Activity (Triaxial-Counts)
3/26/2024,7:19:00 PM,492
3/26/2024,7:19:15 PM,346
3/26/2024,7:19:30 PM,404
3/26/2024,7:19:45 PM,379
3/26/2024,7:20:00 PM,38
3/26/2024,7:20:15 PM,186
3/26/2024,7:20:30 PM,103
3/26/2024,7:20:45 PM,520
3/26/2024,7:21:00 PM,1342
3/26/2024,7:21:15 PM,199
3/26/2024,7:21:30 PM,0
3/26/2024,7:21:45 PM,15
3/26/2024,7:22:00 PM,0
3/26/2024,7:22:15 PM,18
3/26/2024,7:22:30 PM,0
3/26/2024,7:22:45 PM,0
3/26/2024,7:23:00 PM,55
3/26/2024,7:23:15 PM,73
3/26/2024,7:23:30 PM,4
3/26/2024,7:23:45 PM,0
3/26/2024,7:24:00 PM,0
3/26/2024,7:24:15 PM,0
3/26/2024,7:24:30 PM,0
3/26/2024,7:24:45 PM,0
3/26/2024,7:25:00 PM,0
3/26/2024,7:25:15 PM,6
3/26/2024,7:25:30 PM,24
3/26/2024,7:25:45 PM,34
3/26/2024,7:26:00 PM,116
3/26/2024,7:26:15 PM,58
3/26/2024,7:26:30 PM,4
3/26/2024,7:26:45 PM,8
3/26/2024,7:27:00 PM,0
3/26/2024,7:27:15 PM,41
3/26/2024,7:27:30 PM,0
3/26/2024,7:27:45 PM,8
3/26/2024,7:28:00 PM,94
3/26/2024,7:28:15 PM,118
3/26/2024,7:28:30 PM,0
3/26/2024,7:28:45 PM,340
3/26/2024,7:29:00 PM,6
3/26/2024,7:29:15 PM,69
3/26/2024,7:29:30 PM,13
3/26/2024,7:29:45 PM,111
3/26/2024,7:30:00 PM,66
3/26/2024,7:30:15 PM,30
3/26/2024,7:30:30 PM,355
3/26/2024,7:30:45 PM,31
3/26/2024,7:31:00 PM,0
3/26/2024,7:31:15 PM,27
3/26/2024,7:31:30 PM,0
3/26/2024,7:31:45 PM,0
3/26/2024,7:32:00 PM,0
3/26/2024,7:32:15 PM,0
3/26/2024,7:32:30 PM,6
3/26/2024,7:32:45 PM,0
3/26/2024,7:33:00 PM,117
3/26/2024,7:33:15 PM,0
3/26/2024,7:33:30 PM,0
3/26/2024,7:33:45 PM,0
3/26/2024,7:34:00 PM,0
3/26/2024,7:34:15 PM,0
3/26/2024,7:34:30 PM,12
3/26/2024,7:34:45 PM,0
3/26/2024,7:35:00 PM,63
3/26/2024,7:35:15 PM,11
3/26/2024,7:35:30 PM,65
3/26/2024,7:35:45 PM,0
3/26/2024,7:36:00 PM,0
3/26/2024,7:36:15 PM,0
3/26/2024,7:36:30 PM,0
3/26/2024,7:36:45 PM,0
3/26/2024,7:37:00 PM,0
3/26/2024,7:37:15 PM,0
3/26/2024,7:37:30 PM,21
3/26/2024,7:37:45 PM,0
3/26/2024,7:38:00 PM,396
3/26/2024,7:38:15 PM,273
3/26/2024,7:38:30 PM,0
3/26/2024,7:38:45 PM,0
3/26/2024,7:39:00 PM,0
3/26/2024,7:39:15 PM,48
3/26/2024,7:39:30 PM,118
3/26/2024,7:39:45 PM,71
3/26/2024,7:40:00 PM,0
3/26/2024,7:40:15 PM,20
3/26/2024,7:40:30 PM,5
3/26/2024,7:40:45 PM,0
3/26/2024,7:41:00 PM,167
3/26/2024,7:41:15 PM,162
3/26/2024,7:41:30 PM,20
3/26/2024,7:41:45 PM,265
3/26/2024,7:42:00 PM,461
3/26/2024,7:42:15 PM,700
3/26/2024,7:42:30 PM,252
3/26/2024,7:42:45 PM,13
3/26/2024,7:43:00 PM,5
3/26/2024,7:43:15 PM,20
3/26/2024,7:43:30 PM,145
3/26/2024,7:43:45 PM,727
3/26/2024,7:44:00 PM,48
3/26/2024,7:44:15 PM,0
3/26/2024,7:44:30 PM,58
3/26/2024,7:44:45 PM,6
3/26/2024,7:45:00 PM,54
3/26/2024,7:45:15 PM,11
3/26/2024,7:45:30 PM,571
3/26/2024,7:45:45 PM,205
3/26/2024,7:46:00 PM,69
3/26/2024,7:46:15 PM,296
3/26/2024,7:46:30 PM,31
3/26/2024,7:46:45 PM,43
3/26/2024,7:47:00 PM,19
