Date,Time,Activity (Triaxial-Counts)
3/24/2024,12:30:15 AM,78
3/24/2024,12:30:30 AM,35
3/24/2024,12:30:45 AM,12
3/24/2024,12:31:00 AM,11
3/24/2024,12:31:15 AM,0
3/24/2024,12:31:30 AM,0
3/24/2024,12:31:45 AM,0
3/24/2024,12:32:00 AM,0
3/24/2024,12:32:15 AM,0
3/24/2024,12:32:30 AM,14
3/24/2024,12:32:45 AM,0
3/24/2024,12:33:00 AM,0
3/24/2024,12:33:15 AM,7
3/24/2024,12:33:30 AM,27
3/24/2024,12:33:45 AM,52
3/24/2024,12:34:00 AM,0
3/24/2024,12:34:15 AM,81
3/24/2024,12:34:30 AM,16
3/24/2024,12:34:45 AM,137
3/24/2024,12:35:00 AM,21
3/24/2024,12:35:15 AM,81
3/24/2024,12:35:30 AM,118
3/24/2024,12:35:45 AM,71
3/24/2024,12:36:00 AM,0
3/24/2024,12:36:15 AM,114
3/24/2024,12:36:30 AM,15
3/24/2024,12:36:45 AM,5
3/24/2024,12:37:00 AM,4
3/24/2024,12:37:15 AM,34
3/24/2024,12:37:30 AM,13
3/24/2024,12:37:45 AM,240
3/24/2024,12:38:00 AM,240
3/24/2024,12:38:15 AM,178
3/24/2024,12:38:30 AM,79
3/24/2024,12:38:45 AM,187
3/24/2024,12:39:00 AM,560
3/24/2024,12:39:15 AM,519
3/24/2024,12:39:30 AM,231
3/24/2024,12:39:45 AM,47
3/24/2024,12:40:00 AM,149
3/24/2024,12:40:15 AM,92
3/24/2024,12:40:30 AM,10
3/24/2024,12:40:45 AM,55
3/24/2024,12:41:00 AM,557
3/24/2024,12:41:15 AM,497
3/24/2024,12:41:30 AM,360
3/24/2024,12:41:45 AM,439
3/24/2024,12:42:00 AM,52
3/24/2024,12:42:15 AM,81
3/24/2024,12:42:30 AM,78
3/24/2024,12:42:45 AM,264
3/24/2024,12:43:00 AM,183
3/24/2024,12:43:15 AM,141
3/24/2024,12:43:30 AM,41
3/24/2024,12:43:45 AM,242
3/24/2024,12:44:00 AM,510
3/24/2024,12:44:15 AM,162
3/24/2024,12:44:30 AM,273
3/24/2024,12:44:45 AM,106
3/24/2024,12:45:00 AM,128
3/24/2024,12:45:15 AM,188
3/24/2024,12:45:30 AM,187
3/24/2024,12:45:45 AM,94
3/24/2024,12:46:00 AM,113
3/24/2024,12:46:15 AM,494
3/24/2024,12:46:30 AM,466
3/24/2024,12:46:45 AM,742
3/24/2024,12:47:00 AM,647
3/24/2024,12:47:15 AM,21
3/24/2024,12:47:30 AM,129
3/24/2024,12:47:45 AM,0
3/24/2024,12:48:00 AM,0
3/24/2024,12:48:15 AM,62
3/24/2024,12:48:30 AM,13
3/24/2024,12:48:45 AM,36
3/24/2024,12:49:00 AM,18
3/24/2024,12:49:15 AM,24
3/24/2024,12:49:30 AM,4
3/24/2024,12:49:45 AM,4
3/24/2024,12:50:00 AM,7
3/24/2024,12:50:15 AM,86
3/24/2024,12:50:30 AM,0
3/24/2024,12:50:45 AM,19
3/24/2024,12:51:00 AM,34
3/24/2024,12:51:15 AM,0
3/24/2024,12:51:30 AM,353
3/24/2024,12:51:45 AM,421
3/24/2024,12:52:00 AM,566
3/24/2024,12:52:15 AM,467
3/24/2024,12:52:30 AM,190
3/24/2024,12:52:45 AM,145
3/24/2024,12:53:00 AM,352
3/24/2024,12:53:15 AM,295
3/24/2024,12:53:30 AM,25
3/24/2024,12:53:45 AM,198
3/24/2024,12:54:00 AM,98
3/24/2024,12:54:15 AM,118
3/24/2024,12:54:30 AM,236
3/24/2024,12:54:45 AM,279
3/24/2024,12:55:00 AM,141
3/24/2024,12:55:15 AM,0
3/24/2024,12:55:30 AM,5
3/24/2024,12:55:45 AM,165
3/24/2024,12:56:00 AM,0
3/24/2024,12:56:15 AM,111
3/24/2024,12:56:30 AM,9
3/24/2024,12:56:45 AM,0
3/24/2024,12:57:00 AM,0
3/24/2024,12:57:15 AM,0
3/24/2024,12:57:30 AM,126
3/24/2024,12:57:45 AM,516
3/24/2024,12:58:00 AM,270
3/24/2024,12:58:15 AM,0
3/24/2024,12:58:30 AM,0
3/24/2024,12:58:45 AM,0
3/24/2024,12:59:00 AM,0
3/24/2024,12:59:15 AM,31
3/24/2024,12:59:30 AM,127
3/24/2024,12:59:45 AM,284
3/24/2024,1:00:00 AM,0
3/24/2024,1:00:15 AM,0
3/24/2024,1:00:30 AM,0
3/24/2024,1:00:45 AM,175
3/24/2024,1:01:00 AM,18
3/24/2024,1:01:15 AM,0
3/24/2024,1:01:30 AM,0
3/24/2024,1:01:45 AM,0
3/24/2024,1:02:00 AM,0
3/24/2024,1:02:15 AM,0
3/24/2024,1:02:30 AM,0
3/24/2024,1:02:45 AM,0
3/24/2024,1:03:00 AM,0
3/24/2024,1:03:15 AM,5
3/24/2024,1:03:30 AM,359
3/24/2024,1:03:45 AM,0
3/24/2024,1:04:00 AM,0
3/24/2024,1:04:15 AM,50
3/24/2024,1:04:30 AM,391
3/24/2024,1:04:45 AM,385
3/24/2024,1:05:00 AM,39
3/24/2024,1:05:15 AM,0
3/24/2024,1:05:30 AM,73
3/24/2024,1:05:45 AM,6
3/24/2024,1:06:00 AM,17
3/24/2024,1:06:15 AM,38
3/24/2024,1:06:30 AM,11
3/24/2024,1:06:45 AM,0
3/24/2024,1:07:00 AM,0
3/24/2024,1:07:15 AM,16
3/24/2024,1:07:30 AM,34
3/24/2024,1:07:45 AM,0
3/24/2024,1:08:00 AM,0
3/24/2024,1:08:15 AM,24
3/24/2024,1:08:30 AM,13
3/24/2024,1:08:45 AM,79
3/24/2024,1:09:00 AM,0
3/24/2024,1:09:15 AM,0
3/24/2024,1:09:30 AM,101
3/24/2024,1:09:45 AM,0
3/24/2024,1:10:00 AM,0
3/24/2024,1:10:15 AM,0
3/24/2024,1:10:30 AM,43
3/24/2024,1:10:45 AM,8
3/24/2024,1:11:00 AM,18
3/24/2024,1:11:15 AM,310
3/24/2024,1:11:30 AM,132
3/24/2024,1:11:45 AM,42
3/24/2024,1:12:00 AM,109
3/24/2024,1:12:15 AM,0
3/24/2024,1:12:30 AM,27
3/24/2024,1:12:45 AM,0
3/24/2024,1:13:00 AM,6
3/24/2024,1:13:15 AM,10
3/24/2024,1:13:30 AM,28
3/24/2024,1:13:45 AM,35
3/24/2024,1:14:00 AM,32
3/24/2024,1:14:15 AM,94
3/24/2024,1:14:30 AM,12
3/24/2024,1:14:45 AM,24
3/24/2024,1:15:00 AM,4
3/24/2024,1:15:15 AM,31
3/24/2024,1:15:30 AM,0
3/24/2024,1:15:45 AM,45
3/24/2024,1:16:00 AM,121
3/24/2024,1:16:15 AM,112
3/24/2024,1:16:30 AM,0
3/24/2024,1:16:45 AM,0
3/24/2024,1:17:00 AM,0
3/24/2024,1:17:15 AM,50
3/24/2024,1:17:30 AM,0
3/24/2024,1:17:45 AM,4
3/24/2024,1:18:00 AM,0
3/24/2024,1:18:15 AM,0
3/24/2024,1:18:30 AM,0
3/24/2024,1:18:45 AM,0
3/24/2024,1:19:00 AM,0
3/24/2024,1:19:15 AM,0
3/24/2024,1:19:30 AM,0
3/24/2024,1:19:45 AM,0
3/24/2024,1:20:00 AM,0
3/24/2024,1:20:15 AM,0
3/24/2024,1:20:30 AM,0
3/24/2024,1:20:45 AM,97
3/24/2024,1:21:00 AM,213
3/24/2024,1:21:15 AM,24
3/24/2024,1:21:30 AM,4
3/24/2024,1:21:45 AM,0
3/24/2024,1:22:00 AM,0
3/24/2024,1:22:15 AM,0
3/24/2024,1:22:30 AM,51
3/24/2024,1:22:45 AM,128
3/24/2024,1:23:00 AM,72
3/24/2024,1:23:15 AM,26
3/24/2024,1:23:30 AM,53
3/24/2024,1:23:45 AM,7
3/24/2024,1:24:00 AM,0
3/24/2024,1:24:15 AM,0
3/24/2024,1:24:30 AM,5
3/24/2024,1:24:45 AM,0
3/24/2024,1:25:00 AM,73
3/24/2024,1:25:15 AM,22
3/24/2024,1:25:30 AM,6
3/24/2024,1:25:45 AM,0
3/24/2024,1:26:00 AM,0
3/24/2024,1:26:15 AM,0
3/24/2024,1:26:30 AM,47
3/24/2024,1:26:45 AM,0
3/24/2024,1:27:00 AM,0
3/24/2024,1:27:15 AM,0
3/24/2024,1:27:30 AM,13
3/24/2024,1:27:45 AM,4
3/24/2024,1:28:00 AM,0
3/24/2024,1:28:15 AM,4
3/24/2024,1:28:30 AM,0
3/24/2024,1:28:45 AM,0
3/24/2024,1:29:00 AM,0
3/24/2024,1:29:15 AM,0
3/24/2024,1:29:30 AM,0
3/24/2024,1:29:45 AM,0
3/24/2024,1:30:00 AM,0
3/24/2024,1:30:15 AM,89
3/24/2024,1:30:30 AM,0
3/24/2024,1:30:45 AM,0
3/24/2024,1:31:00 AM,7
3/24/2024,1:31:15 AM,0
3/24/2024,1:31:30 AM,137
3/24/2024,1:31:45 AM,196
3/24/2024,1:32:00 AM,192
3/24/2024,1:32:15 AM,70
3/24/2024,1:32:30 AM,0
3/24/2024,1:32:45 AM,73
3/24/2024,1:33:00 AM,285
3/24/2024,1:33:15 AM,56
3/24/2024,1:33:30 AM,134
3/24/2024,1:33:45 AM,82
3/24/2024,1:34:00 AM,30
3/24/2024,1:34:15 AM,60
3/24/2024,1:34:30 AM,0
3/24/2024,1:34:45 AM,86
3/24/2024,1:35:00 AM,24
3/24/2024,1:35:15 AM,142
3/24/2024,1:35:30 AM,144
3/24/2024,1:35:45 AM,0
3/24/2024,1:36:00 AM,131
3/24/2024,1:36:15 AM,0
3/24/2024,1:36:30 AM,5
3/24/2024,1:36:45 AM,0
3/24/2024,1:37:00 AM,0
3/24/2024,1:37:15 AM,9
3/24/2024,1:37:30 AM,0
3/24/2024,1:37:45 AM,0
3/24/2024,1:38:00 AM,23
3/24/2024,1:38:15 AM,0
3/24/2024,1:38:30 AM,391
3/24/2024,1:38:45 AM,303
3/24/2024,1:39:00 AM,4
3/24/2024,1:39:15 AM,8
3/24/2024,1:39:30 AM,5
3/24/2024,1:39:45 AM,0
3/24/2024,1:40:00 AM,0
3/24/2024,1:40:15 AM,0
3/24/2024,1:40:30 AM,0
3/24/2024,1:40:45 AM,0
3/24/2024,1:41:00 AM,0
3/24/2024,1:41:15 AM,0
3/24/2024,1:41:30 AM,6
3/24/2024,1:41:45 AM,593
3/24/2024,1:42:00 AM,73
3/24/2024,1:42:15 AM,389
3/24/2024,1:42:30 AM,792
3/24/2024,1:42:45 AM,115
3/24/2024,1:43:00 AM,35
3/24/2024,1:43:15 AM,110
3/24/2024,1:43:30 AM,68
3/24/2024,1:43:45 AM,553
3/24/2024,1:44:00 AM,370
3/24/2024,1:44:15 AM,280
3/24/2024,1:44:30 AM,309
3/24/2024,1:44:45 AM,0
3/24/2024,1:45:00 AM,6
3/24/2024,1:45:15 AM,101
3/24/2024,1:45:30 AM,21
3/24/2024,1:45:45 AM,79
3/24/2024,1:46:00 AM,326
3/24/2024,1:46:15 AM,560
3/24/2024,1:46:30 AM,427
3/24/2024,1:46:45 AM,123
3/24/2024,1:47:00 AM,53
3/24/2024,1:47:15 AM,264
3/24/2024,1:47:30 AM,186
3/24/2024,1:47:45 AM,0
3/24/2024,1:48:00 AM,124
3/24/2024,1:48:15 AM,4
3/24/2024,1:48:30 AM,0
3/24/2024,1:48:45 AM,0
3/24/2024,1:49:00 AM,0
3/24/2024,1:49:15 AM,0
3/24/2024,1:49:30 AM,11
3/24/2024,1:49:45 AM,0
3/24/2024,1:50:00 AM,0
3/24/2024,1:50:15 AM,0
3/24/2024,1:50:30 AM,0
3/24/2024,1:50:45 AM,0
3/24/2024,1:51:00 AM,0
3/24/2024,1:51:15 AM,165
3/24/2024,1:51:30 AM,43
3/24/2024,1:51:45 AM,564
3/24/2024,1:52:00 AM,114
3/24/2024,1:52:15 AM,0
3/24/2024,1:52:30 AM,0
3/24/2024,1:52:45 AM,0
3/24/2024,1:53:00 AM,7
3/24/2024,1:53:15 AM,0
3/24/2024,1:53:30 AM,0
3/24/2024,1:53:45 AM,110
3/24/2024,1:54:00 AM,200
3/24/2024,1:54:15 AM,254
3/24/2024,1:54:30 AM,0
3/24/2024,1:54:45 AM,0
3/24/2024,1:55:00 AM,0
3/24/2024,1:55:15 AM,0
3/24/2024,1:55:30 AM,4
3/24/2024,1:55:45 AM,25
3/24/2024,1:56:00 AM,0
3/24/2024,1:56:15 AM,0
3/24/2024,1:56:30 AM,0
3/24/2024,1:56:45 AM,0
3/24/2024,1:57:00 AM,102
3/24/2024,1:57:15 AM,25
3/24/2024,1:57:30 AM,25
3/24/2024,1:57:45 AM,0
3/24/2024,1:58:00 AM,11
3/24/2024,1:58:15 AM,0
3/24/2024,1:58:30 AM,0
3/24/2024,1:58:45 AM,0
3/24/2024,1:59:00 AM,0
3/24/2024,1:59:15 AM,0
3/24/2024,1:59:30 AM,0
3/24/2024,1:59:45 AM,0
3/24/2024,2:00:00 AM,0
3/24/2024,2:00:15 AM,0
3/24/2024,2:00:30 AM,0
3/24/2024,2:00:45 AM,0
3/24/2024,2:01:00 AM,0
3/24/2024,2:01:15 AM,0
3/24/2024,2:01:30 AM,0
3/24/2024,2:01:45 AM,217
3/24/2024,2:02:00 AM,84
3/24/2024,2:02:15 AM,4
3/24/2024,2:02:30 AM,6
3/24/2024,2:02:45 AM,0
3/24/2024,2:03:00 AM,0
3/24/2024,2:03:15 AM,0
3/24/2024,2:03:30 AM,0
3/24/2024,2:03:45 AM,0
3/24/2024,2:04:00 AM,0
3/24/2024,2:04:15 AM,0
3/24/2024,2:04:30 AM,0
3/24/2024,2:04:45 AM,0
3/24/2024,2:05:00 AM,0
3/24/2024,2:05:15 AM,0
3/24/2024,2:05:30 AM,0
3/24/2024,2:05:45 AM,0
3/24/2024,2:06:00 AM,0
3/24/2024,2:06:15 AM,0
3/24/2024,2:06:30 AM,90
3/24/2024,2:06:45 AM,189
3/24/2024,2:07:00 AM,0
3/24/2024,2:07:15 AM,36
3/24/2024,2:07:30 AM,72
3/24/2024,2:07:45 AM,570
3/24/2024,2:08:00 AM,0
3/24/2024,2:08:15 AM,102
3/24/2024,2:08:30 AM,20
3/24/2024,2:08:45 AM,0
3/24/2024,2:09:00 AM,0
3/24/2024,2:09:15 AM,14
3/24/2024,2:09:30 AM,5
3/24/2024,2:09:45 AM,12
3/24/2024,2:10:00 AM,0
3/24/2024,2:10:15 AM,0
3/24/2024,2:10:30 AM,0
3/24/2024,2:10:45 AM,0
3/24/2024,2:11:00 AM,14
3/24/2024,2:11:15 AM,227
3/24/2024,2:11:30 AM,241
3/24/2024,2:11:45 AM,62
3/24/2024,2:12:00 AM,297
3/24/2024,2:12:15 AM,100
3/24/2024,2:12:30 AM,65
3/24/2024,2:12:45 AM,12
3/24/2024,2:13:00 AM,0
3/24/2024,2:13:15 AM,0
3/24/2024,2:13:30 AM,0
3/24/2024,2:13:45 AM,0
3/24/2024,2:14:00 AM,0
3/24/2024,2:14:15 AM,58
3/24/2024,2:14:30 AM,0
3/24/2024,2:14:45 AM,4
3/24/2024,2:15:00 AM,9
3/24/2024,2:15:15 AM,0
3/24/2024,2:15:30 AM,66
3/24/2024,2:15:45 AM,386
3/24/2024,2:16:00 AM,189
