Date,Time,Activity (Triaxial-Counts)
3/28/2024,4:00:15 AM,35
3/28/2024,4:00:30 AM,119
3/28/2024,4:00:45 AM,0
3/28/2024,4:01:00 AM,0
3/28/2024,4:01:15 AM,0
3/28/2024,4:01:30 AM,60
3/28/2024,4:01:45 AM,137
3/28/2024,4:02:00 AM,0
3/28/2024,4:02:15 AM,0
3/28/2024,4:02:30 AM,10
3/28/2024,4:02:45 AM,4
3/28/2024,4:03:00 AM,306
3/28/2024,4:03:15 AM,203
3/28/2024,4:03:30 AM,27
3/28/2024,4:03:45 AM,0
3/28/2024,4:04:00 AM,0
3/28/2024,4:04:15 AM,15
3/28/2024,4:04:30 AM,0
3/28/2024,4:04:45 AM,0
3/28/2024,4:05:00 AM,0
3/28/2024,4:05:15 AM,108
3/28/2024,4:05:30 AM,0
3/28/2024,4:05:45 AM,68
3/28/2024,4:06:00 AM,0
3/28/2024,4:06:15 AM,309
3/28/2024,4:06:30 AM,43
3/28/2024,4:06:45 AM,0
3/28/2024,4:07:00 AM,286
3/28/2024,4:07:15 AM,44
3/28/2024,4:07:30 AM,72
3/28/2024,4:07:45 AM,59
3/28/2024,4:08:00 AM,46
3/28/2024,4:08:15 AM,91
3/28/2024,4:08:30 AM,24
3/28/2024,4:08:45 AM,258
3/28/2024,4:09:00 AM,0
3/28/2024,4:09:15 AM,0
3/28/2024,4:09:30 AM,6
3/28/2024,4:09:45 AM,0
3/28/2024,4:10:00 AM,0
3/28/2024,4:10:15 AM,0
3/28/2024,4:10:30 AM,0
3/28/2024,4:10:45 AM,0
3/28/2024,4:11:00 AM,94
3/28/2024,4:11:15 AM,48
3/28/2024,4:11:30 AM,325
3/28/2024,4:11:45 AM,15
3/28/2024,4:12:00 AM,13
3/28/2024,4:12:15 AM,0
3/28/2024,4:12:30 AM,0
3/28/2024,4:12:45 AM,12
3/28/2024,4:13:00 AM,0
3/28/2024,4:13:15 AM,0
3/28/2024,4:13:30 AM,0
3/28/2024,4:13:45 AM,55
3/28/2024,4:14:00 AM,13
3/28/2024,4:14:15 AM,0
3/28/2024,4:14:30 AM,66
3/28/2024,4:14:45 AM,106
3/28/2024,4:15:00 AM,67
3/28/2024,4:15:15 AM,45
3/28/2024,4:15:30 AM,204
3/28/2024,4:15:45 AM,0
3/28/2024,4:16:00 AM,0
3/28/2024,4:16:15 AM,0
3/28/2024,4:16:30 AM,0
3/28/2024,4:16:45 AM,0
3/28/2024,4:17:00 AM,18
3/28/2024,4:17:15 AM,226
3/28/2024,4:17:30 AM,39
3/28/2024,4:17:45 AM,113
3/28/2024,4:18:00 AM,489
