Date,Time,Activity (Triaxial-Counts)
3/25/2024,8:30:15 PM,260
3/25/2024,8:30:30 PM,4
3/25/2024,8:30:45 PM,0
3/25/2024,8:31:00 PM,137
3/25/2024,8:31:15 PM,172
3/25/2024,8:31:30 PM,62
3/25/2024,8:31:45 PM,37
3/25/2024,8:32:00 PM,4
3/25/2024,8:32:15 PM,192
3/25/2024,8:32:30 PM,237
3/25/2024,8:32:45 PM,116
3/25/2024,8:33:00 PM,245
3/25/2024,8:33:15 PM,53
3/25/2024,8:33:30 PM,117
3/25/2024,8:33:45 PM,44
3/25/2024,8:34:00 PM,196
3/25/2024,8:34:15 PM,34
3/25/2024,8:34:30 PM,8
3/25/2024,8:34:45 PM,64
3/25/2024,8:35:00 PM,33
3/25/2024,8:35:15 PM,197
3/25/2024,8:35:30 PM,110
3/25/2024,8:35:45 PM,69
3/25/2024,8:36:00 PM,297
3/25/2024,8:36:15 PM,0
3/25/2024,8:36:30 PM,44
3/25/2024,8:36:45 PM,47
3/25/2024,8:37:00 PM,5
3/25/2024,8:37:15 PM,34
3/25/2024,8:37:30 PM,27
3/25/2024,8:37:45 PM,166
3/25/2024,8:38:00 PM,136
3/25/2024,8:38:15 PM,34
3/25/2024,8:38:30 PM,35
3/25/2024,8:38:45 PM,104
3/25/2024,8:39:00 PM,8
3/25/2024,8:39:15 PM,258
3/25/2024,8:39:30 PM,68
3/25/2024,8:39:45 PM,125
3/25/2024,8:40:00 PM,168
3/25/2024,8:40:15 PM,228
3/25/2024,8:40:30 PM,135
3/25/2024,8:40:45 PM,139
3/25/2024,8:41:00 PM,104
3/25/2024,8:41:15 PM,0
3/25/2024,8:41:30 PM,5
3/25/2024,8:41:45 PM,45
3/25/2024,8:42:00 PM,0
3/25/2024,8:42:15 PM,15
3/25/2024,8:42:30 PM,71
3/25/2024,8:42:45 PM,0
3/25/2024,8:43:00 PM,194
3/25/2024,8:43:15 PM,257
3/25/2024,8:43:30 PM,122
3/25/2024,8:43:45 PM,43
3/25/2024,8:44:00 PM,162
3/25/2024,8:44:15 PM,7
3/25/2024,8:44:30 PM,53
3/25/2024,8:44:45 PM,0
3/25/2024,8:45:00 PM,0
3/25/2024,8:45:15 PM,144
3/25/2024,8:45:30 PM,243
3/25/2024,8:45:45 PM,86
3/25/2024,8:46:00 PM,66
3/25/2024,8:46:15 PM,72
3/25/2024,8:46:30 PM,205
3/25/2024,8:46:45 PM,607
3/25/2024,8:47:00 PM,252
3/25/2024,8:47:15 PM,456
3/25/2024,8:47:30 PM,347
3/25/2024,8:47:45 PM,104
3/25/2024,8:48:00 PM,220
3/25/2024,8:48:15 PM,202
3/25/2024,8:48:30 PM,87
3/25/2024,8:48:45 PM,0
3/25/2024,8:49:00 PM,160
3/25/2024,8:49:15 PM,561
3/25/2024,8:49:30 PM,11
3/25/2024,8:49:45 PM,164
3/25/2024,8:50:00 PM,139
3/25/2024,8:50:15 PM,30
3/25/2024,8:50:30 PM,35
3/25/2024,8:50:45 PM,140
3/25/2024,8:51:00 PM,0
3/25/2024,8:51:15 PM,48
3/25/2024,8:51:30 PM,0
3/25/2024,8:51:45 PM,135
3/25/2024,8:52:00 PM,0
3/25/2024,8:52:15 PM,0
3/25/2024,8:52:30 PM,50
3/25/2024,8:52:45 PM,243
3/25/2024,8:53:00 PM,203
3/25/2024,8:53:15 PM,305
3/25/2024,8:53:30 PM,374
3/25/2024,8:53:45 PM,211
3/25/2024,8:54:00 PM,117
3/25/2024,8:54:15 PM,24
3/25/2024,8:54:30 PM,96
3/25/2024,8:54:45 PM,26
3/25/2024,8:55:00 PM,91
3/25/2024,8:55:15 PM,118
3/25/2024,8:55:30 PM,34
3/25/2024,8:55:45 PM,8
3/25/2024,8:56:00 PM,10
3/25/2024,8:56:15 PM,78
3/25/2024,8:56:30 PM,0
3/25/2024,8:56:45 PM,77
3/25/2024,8:57:00 PM,98
3/25/2024,8:57:15 PM,113
3/25/2024,8:57:30 PM,71
3/25/2024,8:57:45 PM,369
3/25/2024,8:58:00 PM,70
3/25/2024,8:58:15 PM,112
3/25/2024,8:58:30 PM,90
3/25/2024,8:58:45 PM,4
3/25/2024,8:59:00 PM,149
3/25/2024,8:59:15 PM,156
3/25/2024,8:59:30 PM,74
3/25/2024,8:59:45 PM,108
3/25/2024,9:00:00 PM,287
3/25/2024,9:00:15 PM,29
3/25/2024,9:00:30 PM,169
3/25/2024,9:00:45 PM,194
3/25/2024,9:01:00 PM,32
3/25/2024,9:01:15 PM,0
3/25/2024,9:01:30 PM,0
3/25/2024,9:01:45 PM,138
3/25/2024,9:02:00 PM,302
3/25/2024,9:02:15 PM,140
3/25/2024,9:02:30 PM,123
3/25/2024,9:02:45 PM,0
