Date,Time,Activity (Triaxial-Counts)
3/28/2024,3:30:00 PM,87
3/28/2024,3:30:15 PM,309
3/28/2024,3:30:30 PM,364
3/28/2024,3:30:45 PM,366
3/28/2024,3:31:00 PM,315
3/28/2024,3:31:15 PM,0
3/28/2024,3:31:30 PM,328
3/28/2024,3:31:45 PM,309
3/28/2024,3:32:00 PM,192
3/28/2024,3:32:15 PM,349
3/28/2024,3:32:30 PM,372
3/28/2024,3:32:45 PM,273
3/28/2024,3:33:00 PM,301
3/28/2024,3:33:15 PM,440
3/28/2024,3:33:30 PM,17
3/28/2024,3:33:45 PM,64
3/28/2024,3:34:00 PM,114
3/28/2024,3:34:15 PM,0
3/28/2024,3:34:30 PM,17
3/28/2024,3:34:45 PM,33
3/28/2024,3:35:00 PM,4
3/28/2024,3:35:15 PM,186
3/28/2024,3:35:30 PM,46
3/28/2024,3:35:45 PM,266
3/28/2024,3:36:00 PM,218
3/28/2024,3:36:15 PM,246
3/28/2024,3:36:30 PM,11
3/28/2024,3:36:45 PM,43
3/28/2024,3:37:00 PM,195
3/28/2024,3:37:15 PM,33
3/28/2024,3:37:30 PM,6
3/28/2024,3:37:45 PM,21
3/28/2024,3:38:00 PM,63
3/28/2024,3:38:15 PM,15
3/28/2024,3:38:30 PM,0
3/28/2024,3:38:45 PM,18
3/28/2024,3:39:00 PM,0
3/28/2024,3:39:15 PM,0
3/28/2024,3:39:30 PM,5
3/28/2024,3:39:45 PM,73
3/28/2024,3:40:00 PM,0
3/28/2024,3:40:15 PM,0
3/28/2024,3:40:30 PM,0
3/28/2024,3:40:45 PM,0
3/28/2024,3:41:00 PM,32
3/28/2024,3:41:15 PM,27
3/28/2024,3:41:30 PM,17
3/28/2024,3:41:45 PM,0
3/28/2024,3:42:00 PM,0
3/28/2024,3:42:15 PM,37
3/28/2024,3:42:30 PM,14
3/28/2024,3:42:45 PM,13
3/28/2024,3:43:00 PM,6
3/28/2024,3:43:15 PM,18
3/28/2024,3:43:30 PM,30
3/28/2024,3:43:45 PM,0
3/28/2024,3:44:00 PM,0
3/28/2024,3:44:15 PM,7
3/28/2024,3:44:30 PM,56
3/28/2024,3:44:45 PM,0
3/28/2024,3:45:00 PM,0
3/28/2024,3:45:15 PM,30
3/28/2024,3:45:30 PM,7
3/28/2024,3:45:45 PM,0
3/28/2024,3:46:00 PM,0
3/28/2024,3:46:15 PM,0
3/28/2024,3:46:30 PM,0
3/28/2024,3:46:45 PM,23
3/28/2024,3:47:00 PM,27
3/28/2024,3:47:15 PM,0
3/28/2024,3:47:30 PM,0
3/28/2024,3:47:45 PM,0
3/28/2024,3:48:00 PM,0
3/28/2024,3:48:15 PM,0
3/28/2024,3:48:30 PM,0
3/28/2024,3:48:45 PM,18
3/28/2024,3:49:00 PM,0
3/28/2024,3:49:15 PM,23
3/28/2024,3:49:30 PM,6
3/28/2024,3:49:45 PM,0
3/28/2024,3:50:00 PM,0
3/28/2024,3:50:15 PM,0
3/28/2024,3:50:30 PM,0
3/28/2024,3:50:45 PM,0
3/28/2024,3:51:00 PM,0
3/28/2024,3:51:15 PM,0
3/28/2024,3:51:30 PM,0
3/28/2024,3:51:45 PM,0
3/28/2024,3:52:00 PM,0
3/28/2024,3:52:15 PM,137
3/28/2024,3:52:30 PM,126
3/28/2024,3:52:45 PM,10
3/28/2024,3:53:00 PM,10
3/28/2024,3:53:15 PM,0
3/28/2024,3:53:30 PM,0
3/28/2024,3:53:45 PM,0
3/28/2024,3:54:00 PM,75
3/28/2024,3:54:15 PM,19
3/28/2024,3:54:30 PM,0
3/28/2024,3:54:45 PM,0
3/28/2024,3:55:00 PM,0
3/28/2024,3:55:15 PM,0
3/28/2024,3:55:30 PM,83
3/28/2024,3:55:45 PM,32
3/28/2024,3:56:00 PM,0
3/28/2024,3:56:15 PM,41
3/28/2024,3:56:30 PM,18
3/28/2024,3:56:45 PM,28
3/28/2024,3:57:00 PM,0
3/28/2024,3:57:15 PM,0
3/28/2024,3:57:30 PM,19
3/28/2024,3:57:45 PM,0
3/28/2024,3:58:00 PM,17
3/28/2024,3:58:15 PM,37
3/28/2024,3:58:30 PM,7
3/28/2024,3:58:45 PM,0
3/28/2024,3:59:00 PM,0
3/28/2024,3:59:15 PM,0
3/28/2024,3:59:30 PM,15
3/28/2024,3:59:45 PM,0
3/28/2024,4:00:00 PM,0
3/28/2024,4:00:15 PM,181
3/28/2024,4:00:30 PM,246
3/28/2024,4:00:45 PM,106
3/28/2024,4:01:00 PM,100
3/28/2024,4:01:15 PM,143
3/28/2024,4:01:30 PM,148
3/28/2024,4:01:45 PM,38
3/28/2024,4:02:00 PM,9
3/28/2024,4:02:15 PM,67
3/28/2024,4:02:30 PM,456
3/28/2024,4:02:45 PM,152
3/28/2024,4:03:00 PM,83
3/28/2024,4:03:15 PM,0
3/28/2024,4:03:30 PM,16
3/28/2024,4:03:45 PM,0
3/28/2024,4:04:00 PM,31
3/28/2024,4:04:15 PM,82
3/28/2024,4:04:30 PM,108
3/28/2024,4:04:45 PM,179
3/28/2024,4:05:00 PM,65
3/28/2024,4:05:15 PM,16
3/28/2024,4:05:30 PM,130
3/28/2024,4:05:45 PM,127
3/28/2024,4:06:00 PM,14
3/28/2024,4:06:15 PM,201
3/28/2024,4:06:30 PM,129
3/28/2024,4:06:45 PM,104
3/28/2024,4:07:00 PM,0
3/28/2024,4:07:15 PM,33
3/28/2024,4:07:30 PM,66
3/28/2024,4:07:45 PM,147
3/28/2024,4:08:00 PM,389
3/28/2024,4:08:15 PM,342
3/28/2024,4:08:30 PM,0
3/28/2024,4:08:45 PM,0
3/28/2024,4:09:00 PM,0
3/28/2024,4:09:15 PM,0
3/28/2024,4:09:30 PM,0
3/28/2024,4:09:45 PM,0
3/28/2024,4:10:00 PM,0
3/28/2024,4:10:15 PM,0
3/28/2024,4:10:30 PM,0
3/28/2024,4:10:45 PM,0
3/28/2024,4:11:00 PM,0
3/28/2024,4:11:15 PM,0
3/28/2024,4:11:30 PM,0
3/28/2024,4:11:45 PM,0
3/28/2024,4:12:00 PM,0
3/28/2024,4:12:15 PM,0
3/28/2024,4:12:30 PM,0
3/28/2024,4:12:45 PM,0
3/28/2024,4:13:00 PM,0
3/28/2024,4:13:15 PM,0
3/28/2024,4:13:30 PM,0
3/28/2024,4:13:45 PM,0
3/28/2024,4:14:00 PM,0
3/28/2024,4:14:15 PM,0
3/28/2024,4:14:30 PM,0
3/28/2024,4:14:45 PM,0
3/28/2024,4:15:00 PM,0
3/28/2024,4:15:15 PM,0
3/28/2024,4:15:30 PM,0
3/28/2024,4:15:45 PM,0
3/28/2024,4:16:00 PM,0
3/28/2024,4:16:15 PM,0
3/28/2024,4:16:30 PM,0
3/28/2024,4:16:45 PM,181
3/28/2024,4:17:00 PM,421
3/28/2024,4:17:15 PM,1095
3/28/2024,4:17:30 PM,116
3/28/2024,4:17:45 PM,146
3/28/2024,4:18:00 PM,350
3/28/2024,4:18:15 PM,105
3/28/2024,4:18:30 PM,279
3/28/2024,4:18:45 PM,120
3/28/2024,4:19:00 PM,133
3/28/2024,4:19:15 PM,254
3/28/2024,4:19:30 PM,320
3/28/2024,4:19:45 PM,142
3/28/2024,4:20:00 PM,339
3/28/2024,4:20:15 PM,46
3/28/2024,4:20:30 PM,134
3/28/2024,4:20:45 PM,818
3/28/2024,4:21:00 PM,346
3/28/2024,4:21:15 PM,715
3/28/2024,4:21:30 PM,0
3/28/2024,4:21:45 PM,0
3/28/2024,4:22:00 PM,68
3/28/2024,4:22:15 PM,0
3/28/2024,4:22:30 PM,17
3/28/2024,4:22:45 PM,9
3/28/2024,4:23:00 PM,364
3/28/2024,4:23:15 PM,4
3/28/2024,4:23:30 PM,98
3/28/2024,4:23:45 PM,32
3/28/2024,4:24:00 PM,77
3/28/2024,4:24:15 PM,4
3/28/2024,4:24:30 PM,56
3/28/2024,4:24:45 PM,5
