Date,Time,Activity (Triaxial-Counts)
3/26/2024,12:01:00 PM,0
3/26/2024,12:01:15 PM,27
3/26/2024,12:01:30 PM,0
3/26/2024,12:01:45 PM,20
3/26/2024,12:02:00 PM,192
3/26/2024,12:02:15 PM,94
3/26/2024,12:02:30 PM,123
3/26/2024,12:02:45 PM,0
3/26/2024,12:03:00 PM,31
3/26/2024,12:03:15 PM,53
3/26/2024,12:03:30 PM,40
3/26/2024,12:03:45 PM,0
3/26/2024,12:04:00 PM,0
3/26/2024,12:04:15 PM,0
3/26/2024,12:04:30 PM,108
3/26/2024,12:04:45 PM,258
3/26/2024,12:05:00 PM,0
3/26/2024,12:05:15 PM,8
3/26/2024,12:05:30 PM,12
3/26/2024,12:05:45 PM,0
3/26/2024,12:06:00 PM,0
3/26/2024,12:06:15 PM,84
3/26/2024,12:06:30 PM,0
3/26/2024,12:06:45 PM,0
3/26/2024,12:07:00 PM,0
3/26/2024,12:07:15 PM,0
3/26/2024,12:07:30 PM,139
3/26/2024,12:07:45 PM,0
3/26/2024,12:08:00 PM,0
3/26/2024,12:08:15 PM,108
3/26/2024,12:08:30 PM,364
3/26/2024,12:08:45 PM,161
3/26/2024,12:09:00 PM,198
3/26/2024,12:09:15 PM,169
3/26/2024,12:09:30 PM,196
3/26/2024,12:09:45 PM,74
3/26/2024,12:10:00 PM,14
3/26/2024,12:10:15 PM,5
3/26/2024,12:10:30 PM,30
3/26/2024,12:10:45 PM,0
3/26/2024,12:11:00 PM,0
3/26/2024,12:11:15 PM,43
3/26/2024,12:11:30 PM,41
3/26/2024,12:11:45 PM,229
3/26/2024,12:12:00 PM,66
3/26/2024,12:12:15 PM,0
3/26/2024,12:12:30 PM,5
3/26/2024,12:12:45 PM,0
3/26/2024,12:13:00 PM,34
3/26/2024,12:13:15 PM,183
3/26/2024,12:13:30 PM,5
3/26/2024,12:13:45 PM,117
3/26/2024,12:14:00 PM,0
3/26/2024,12:14:15 PM,0
3/26/2024,12:14:30 PM,34
3/26/2024,12:14:45 PM,49
3/26/2024,12:15:00 PM,0
3/26/2024,12:15:15 PM,175
3/26/2024,12:15:30 PM,196
3/26/2024,12:15:45 PM,0
3/26/2024,12:16:00 PM,0
3/26/2024,12:16:15 PM,177
3/26/2024,12:16:30 PM,17
3/26/2024,12:16:45 PM,96
