Date,Time,Activity (Triaxial-Counts)
3/23/2024,7:00:00 PM,0
3/23/2024,7:00:15 PM,12
3/23/2024,7:00:30 PM,0
3/23/2024,7:00:45 PM,5
3/23/2024,7:01:00 PM,70
3/23/2024,7:01:15 PM,0
3/23/2024,7:01:30 PM,0
3/23/2024,7:01:45 PM,0
3/23/2024,7:02:00 PM,20
3/23/2024,7:02:15 PM,68
3/23/2024,7:02:30 PM,186
3/23/2024,7:02:45 PM,74
3/23/2024,7:03:00 PM,49
3/23/2024,7:03:15 PM,0
3/23/2024,7:03:30 PM,176
3/23/2024,7:03:45 PM,49
3/23/2024,7:04:00 PM,7
3/23/2024,7:04:15 PM,0
3/23/2024,7:04:30 PM,0
3/23/2024,7:04:45 PM,150
3/23/2024,7:05:00 PM,81
3/23/2024,7:05:15 PM,89
3/23/2024,7:05:30 PM,0
3/23/2024,7:05:45 PM,0
3/23/2024,7:06:00 PM,4
3/23/2024,7:06:15 PM,47
3/23/2024,7:06:30 PM,109
3/23/2024,7:06:45 PM,149
3/23/2024,7:07:00 PM,0
3/23/2024,7:07:15 PM,0
3/23/2024,7:07:30 PM,0
3/23/2024,7:07:45 PM,0
3/23/2024,7:08:00 PM,0
3/23/2024,7:08:15 PM,0
3/23/2024,7:08:30 PM,0
3/23/2024,7:08:45 PM,131
3/23/2024,7:09:00 PM,19
3/23/2024,7:09:15 PM,25
3/23/2024,7:09:30 PM,182
3/23/2024,7:09:45 PM,101
3/23/2024,7:10:00 PM,6
3/23/2024,7:10:15 PM,21
3/23/2024,7:10:30 PM,0
3/23/2024,7:10:45 PM,104
3/23/2024,7:11:00 PM,26
3/23/2024,7:11:15 PM,0
3/23/2024,7:11:30 PM,251
3/23/2024,7:11:45 PM,139
3/23/2024,7:12:00 PM,77
3/23/2024,7:12:15 PM,190
3/23/2024,7:12:30 PM,247
3/23/2024,7:12:45 PM,118
3/23/2024,7:13:00 PM,54
3/23/2024,7:13:15 PM,170
3/23/2024,7:13:30 PM,142
3/23/2024,7:13:45 PM,91
3/23/2024,7:14:00 PM,108
3/23/2024,7:14:15 PM,42
3/23/2024,7:14:30 PM,0
3/23/2024,7:14:45 PM,58
3/23/2024,7:15:00 PM,364
3/23/2024,7:15:15 PM,179
3/23/2024,7:15:30 PM,95
3/23/2024,7:15:45 PM,156
3/23/2024,7:16:00 PM,111
3/23/2024,7:16:15 PM,119
3/23/2024,7:16:30 PM,290
3/23/2024,7:16:45 PM,381
3/23/2024,7:17:00 PM,0
3/23/2024,7:17:15 PM,0
3/23/2024,7:17:30 PM,0
3/23/2024,7:17:45 PM,0
3/23/2024,7:18:00 PM,0
3/23/2024,7:18:15 PM,0
3/23/2024,7:18:30 PM,0
3/23/2024,7:18:45 PM,0
3/23/2024,7:19:00 PM,0
3/23/2024,7:19:15 PM,0
3/23/2024,7:19:30 PM,0
3/23/2024,7:19:45 PM,0
3/23/2024,7:20:00 PM,0
3/23/2024,7:20:15 PM,0
3/23/2024,7:20:30 PM,0
3/23/2024,7:20:45 PM,0
3/23/2024,7:21:00 PM,0
3/23/2024,7:21:15 PM,0
3/23/2024,7:21:30 PM,0
3/23/2024,7:21:45 PM,0
