Date,Time,Activity (Triaxial-Counts)
3/27/2024,10:30:00 PM,183
3/27/2024,10:30:15 PM,122
3/27/2024,10:30:30 PM,225
3/27/2024,10:30:45 PM,112
3/27/2024,10:31:00 PM,565
3/27/2024,10:31:15 PM,587
3/27/2024,10:31:30 PM,205
3/27/2024,10:31:45 PM,218
3/27/2024,10:32:00 PM,11
3/27/2024,10:32:15 PM,443
3/27/2024,10:32:30 PM,253
3/27/2024,10:32:45 PM,9
3/27/2024,10:33:00 PM,24
3/27/2024,10:33:15 PM,13
3/27/2024,10:33:30 PM,68
3/27/2024,10:33:45 PM,183
3/27/2024,10:34:00 PM,106
3/27/2024,10:34:15 PM,174
3/27/2024,10:34:30 PM,31
3/27/2024,10:34:45 PM,124
3/27/2024,10:35:00 PM,7
3/27/2024,10:35:15 PM,153
3/27/2024,10:35:30 PM,11
3/27/2024,10:35:45 PM,48
3/27/2024,10:36:00 PM,17
3/27/2024,10:36:15 PM,22
3/27/2024,10:36:30 PM,174
3/27/2024,10:36:45 PM,68
3/27/2024,10:37:00 PM,48
3/27/2024,10:37:15 PM,10
3/27/2024,10:37:30 PM,0
3/27/2024,10:37:45 PM,200
3/27/2024,10:38:00 PM,23
3/27/2024,10:38:15 PM,18
3/27/2024,10:38:30 PM,48
3/27/2024,10:38:45 PM,0
3/27/2024,10:39:00 PM,0
3/27/2024,10:39:15 PM,310
3/27/2024,10:39:30 PM,621
3/27/2024,10:39:45 PM,536
3/27/2024,10:40:00 PM,225
3/27/2024,10:40:15 PM,166
3/27/2024,10:40:30 PM,299
3/27/2024,10:40:45 PM,237
3/27/2024,10:41:00 PM,287
3/27/2024,10:41:15 PM,284
3/27/2024,10:41:30 PM,326
3/27/2024,10:41:45 PM,345
3/27/2024,10:42:00 PM,99
3/27/2024,10:42:15 PM,108
3/27/2024,10:42:30 PM,180
3/27/2024,10:42:45 PM,13
3/27/2024,10:43:00 PM,189
3/27/2024,10:43:15 PM,147
3/27/2024,10:43:30 PM,410
3/27/2024,10:43:45 PM,44
3/27/2024,10:44:00 PM,24
3/27/2024,10:44:15 PM,0
3/27/2024,10:44:30 PM,135
3/27/2024,10:44:45 PM,195
3/27/2024,10:45:00 PM,93
3/27/2024,10:45:15 PM,16
3/27/2024,10:45:30 PM,21
3/27/2024,10:45:45 PM,4
3/27/2024,10:46:00 PM,103
3/27/2024,10:46:15 PM,173
3/27/2024,10:46:30 PM,4
3/27/2024,10:46:45 PM,71
3/27/2024,10:47:00 PM,0
3/27/2024,10:47:15 PM,0
3/27/2024,10:47:30 PM,0
3/27/2024,10:47:45 PM,9
3/27/2024,10:48:00 PM,9
3/27/2024,10:48:15 PM,0
3/27/2024,10:48:30 PM,50
3/27/2024,10:48:45 PM,0
3/27/2024,10:49:00 PM,26
3/27/2024,10:49:15 PM,36
3/27/2024,10:49:30 PM,0
3/27/2024,10:49:45 PM,4
3/27/2024,10:50:00 PM,35
3/27/2024,10:50:15 PM,57
3/27/2024,10:50:30 PM,0
3/27/2024,10:50:45 PM,0
3/27/2024,10:51:00 PM,23
3/27/2024,10:51:15 PM,0
3/27/2024,10:51:30 PM,34
3/27/2024,10:51:45 PM,240
3/27/2024,10:52:00 PM,160
3/27/2024,10:52:15 PM,98
3/27/2024,10:52:30 PM,175
3/27/2024,10:52:45 PM,342
3/27/2024,10:53:00 PM,210
3/27/2024,10:53:15 PM,351
3/27/2024,10:53:30 PM,192
3/27/2024,10:53:45 PM,210
3/27/2024,10:54:00 PM,350
3/27/2024,10:54:15 PM,0
3/27/2024,10:54:30 PM,49
3/27/2024,10:54:45 PM,206
3/27/2024,10:55:00 PM,353
3/27/2024,10:55:15 PM,418
3/27/2024,10:55:30 PM,486
3/27/2024,10:55:45 PM,346
3/27/2024,10:56:00 PM,343
3/27/2024,10:56:15 PM,930
3/27/2024,10:56:30 PM,881
3/27/2024,10:56:45 PM,533
3/27/2024,10:57:00 PM,436
3/27/2024,10:57:15 PM,428
3/27/2024,10:57:30 PM,297
3/27/2024,10:57:45 PM,174
3/27/2024,10:58:00 PM,256
3/27/2024,10:58:15 PM,269
3/27/2024,10:58:30 PM,422
3/27/2024,10:58:45 PM,65
3/27/2024,10:59:00 PM,55
3/27/2024,10:59:15 PM,23
3/27/2024,10:59:30 PM,59
3/27/2024,10:59:45 PM,732
3/27/2024,11:00:00 PM,565
3/27/2024,11:00:15 PM,817
3/27/2024,11:00:30 PM,299
3/27/2024,11:00:45 PM,91
3/27/2024,11:01:00 PM,23
3/27/2024,11:01:15 PM,16
3/27/2024,11:01:30 PM,194
3/27/2024,11:01:45 PM,4
3/27/2024,11:02:00 PM,9
