Date,Time,Activity (Triaxial-Counts)
3/29/2024,8:00:00 PM,17
3/29/2024,8:00:15 PM,0
3/29/2024,8:00:30 PM,0
3/29/2024,8:00:45 PM,5
3/29/2024,8:01:00 PM,4
3/29/2024,8:01:15 PM,16
3/29/2024,8:01:30 PM,5
3/29/2024,8:01:45 PM,0
3/29/2024,8:02:00 PM,44
3/29/2024,8:02:15 PM,0
3/29/2024,8:02:30 PM,304
3/29/2024,8:02:45 PM,503
3/29/2024,8:03:00 PM,121
3/29/2024,8:03:15 PM,0
3/29/2024,8:03:30 PM,55
3/29/2024,8:03:45 PM,30
3/29/2024,8:04:00 PM,161
3/29/2024,8:04:15 PM,199
3/29/2024,8:04:30 PM,227
3/29/2024,8:04:45 PM,823
3/29/2024,8:05:00 PM,589
3/29/2024,8:05:15 PM,402
3/29/2024,8:05:30 PM,596
3/29/2024,8:05:45 PM,151
3/29/2024,8:06:00 PM,278
3/29/2024,8:06:15 PM,147
3/29/2024,8:06:30 PM,472
3/29/2024,8:06:45 PM,406
3/29/2024,8:07:00 PM,405
3/29/2024,8:07:15 PM,173
3/29/2024,8:07:30 PM,298
3/29/2024,8:07:45 PM,422
3/29/2024,8:08:00 PM,595
3/29/2024,8:08:15 PM,359
3/29/2024,8:08:30 PM,282
3/29/2024,8:08:45 PM,256
3/29/2024,8:09:00 PM,256
3/29/2024,8:09:15 PM,193
3/29/2024,8:09:30 PM,500
3/29/2024,8:09:45 PM,605
3/29/2024,8:10:00 PM,212
3/29/2024,8:10:15 PM,538
3/29/2024,8:10:30 PM,411
3/29/2024,8:10:45 PM,85
3/29/2024,8:11:00 PM,166
3/29/2024,8:11:15 PM,113
3/29/2024,8:11:30 PM,17
3/29/2024,8:11:45 PM,278
3/29/2024,8:12:00 PM,564
3/29/2024,8:12:15 PM,68
3/29/2024,8:12:30 PM,37
3/29/2024,8:12:45 PM,350
3/29/2024,8:13:00 PM,461
3/29/2024,8:13:15 PM,151
3/29/2024,8:13:30 PM,309
3/29/2024,8:13:45 PM,470
3/29/2024,8:14:00 PM,122
3/29/2024,8:14:15 PM,61
3/29/2024,8:14:30 PM,84
3/29/2024,8:14:45 PM,198
3/29/2024,8:15:00 PM,248
3/29/2024,8:15:15 PM,356
3/29/2024,8:15:30 PM,46
3/29/2024,8:15:45 PM,76
3/29/2024,8:16:00 PM,327
3/29/2024,8:16:15 PM,103
3/29/2024,8:16:30 PM,162
3/29/2024,8:16:45 PM,180
3/29/2024,8:17:00 PM,15
3/29/2024,8:17:15 PM,170
3/29/2024,8:17:30 PM,306
3/29/2024,8:17:45 PM,294
3/29/2024,8:18:00 PM,313
3/29/2024,8:18:15 PM,329
3/29/2024,8:18:30 PM,367
3/29/2024,8:18:45 PM,342
3/29/2024,8:19:00 PM,396
3/29/2024,8:19:15 PM,403
3/29/2024,8:19:30 PM,429
3/29/2024,8:19:45 PM,571
3/29/2024,8:20:00 PM,623
3/29/2024,8:20:15 PM,585
3/29/2024,8:20:30 PM,643
3/29/2024,8:20:45 PM,578
3/29/2024,8:21:00 PM,591
3/29/2024,8:21:15 PM,662
3/29/2024,8:21:30 PM,735
3/29/2024,8:21:45 PM,590
3/29/2024,8:22:00 PM,560
3/29/2024,8:22:15 PM,632
