Date,Time,Activity (Triaxial-Counts)
3/28/2024,4:40:15 PM,12
3/28/2024,4:40:30 PM,117
3/28/2024,4:40:45 PM,872
3/28/2024,4:41:00 PM,823
3/28/2024,4:41:15 PM,175
3/28/2024,4:41:30 PM,144
3/28/2024,4:41:45 PM,0
3/28/2024,4:42:00 PM,437
3/28/2024,4:42:15 PM,155
3/28/2024,4:42:30 PM,57
3/28/2024,4:42:45 PM,461
3/28/2024,4:43:00 PM,168
3/28/2024,4:43:15 PM,220
3/28/2024,4:43:30 PM,285
3/28/2024,4:43:45 PM,290
3/28/2024,4:44:00 PM,423
3/28/2024,4:44:15 PM,85
3/28/2024,4:44:30 PM,122
3/28/2024,4:44:45 PM,555
3/28/2024,4:45:00 PM,324
3/28/2024,4:45:15 PM,116
3/28/2024,4:45:30 PM,4
3/28/2024,4:45:45 PM,101
3/28/2024,4:46:00 PM,30
3/28/2024,4:46:15 PM,75
3/28/2024,4:46:30 PM,35
3/28/2024,4:46:45 PM,32
3/28/2024,4:47:00 PM,46
3/28/2024,4:47:15 PM,22
3/28/2024,4:47:30 PM,11
3/28/2024,4:47:45 PM,0
3/28/2024,4:48:00 PM,0
3/28/2024,4:48:15 PM,24
3/28/2024,4:48:30 PM,12
3/28/2024,4:48:45 PM,137
3/28/2024,4:49:00 PM,141
3/28/2024,4:49:15 PM,50
3/28/2024,4:49:30 PM,0
3/28/2024,4:49:45 PM,74
3/28/2024,4:50:00 PM,39
3/28/2024,4:50:15 PM,89
3/28/2024,4:50:30 PM,0
3/28/2024,4:50:45 PM,17
3/28/2024,4:51:00 PM,85
3/28/2024,4:51:15 PM,51
3/28/2024,4:51:30 PM,4
3/28/2024,4:51:45 PM,0
3/28/2024,4:52:00 PM,86
3/28/2024,4:52:15 PM,24
3/28/2024,4:52:30 PM,21
3/28/2024,4:52:45 PM,50
3/28/2024,4:53:00 PM,39
3/28/2024,4:53:15 PM,30
3/28/2024,4:53:30 PM,21
3/28/2024,4:53:45 PM,56
3/28/2024,4:54:00 PM,5
3/28/2024,4:54:15 PM,33
3/28/2024,4:54:30 PM,56
3/28/2024,4:54:45 PM,71
3/28/2024,4:55:00 PM,25
3/28/2024,4:55:15 PM,6
3/28/2024,4:55:30 PM,16
3/28/2024,4:55:45 PM,30
3/28/2024,4:56:00 PM,29
3/28/2024,4:56:15 PM,34
3/28/2024,4:56:30 PM,27
3/28/2024,4:56:45 PM,32
3/28/2024,4:57:00 PM,312
3/28/2024,4:57:15 PM,240
3/28/2024,4:57:30 PM,0
3/28/2024,4:57:45 PM,59
3/28/2024,4:58:00 PM,0
3/28/2024,4:58:15 PM,27
3/28/2024,4:58:30 PM,56
3/28/2024,4:58:45 PM,206
3/28/2024,4:59:00 PM,50
3/28/2024,4:59:15 PM,48
3/28/2024,4:59:30 PM,215
3/28/2024,4:59:45 PM,26
3/28/2024,5:00:00 PM,153
3/28/2024,5:00:15 PM,208
3/28/2024,5:00:30 PM,346
3/28/2024,5:00:45 PM,371
3/28/2024,5:01:00 PM,568
3/28/2024,5:01:15 PM,572
3/28/2024,5:01:30 PM,258
3/28/2024,5:01:45 PM,429
3/28/2024,5:02:00 PM,273
3/28/2024,5:02:15 PM,0
3/28/2024,5:02:30 PM,63
3/28/2024,5:02:45 PM,60
3/28/2024,5:03:00 PM,175
3/28/2024,5:03:15 PM,190
3/28/2024,5:03:30 PM,22
3/28/2024,5:03:45 PM,25
3/28/2024,5:04:00 PM,0
3/28/2024,5:04:15 PM,279
3/28/2024,5:04:30 PM,158
3/28/2024,5:04:45 PM,112
3/28/2024,5:05:00 PM,247
3/28/2024,5:05:15 PM,170
3/28/2024,5:05:30 PM,124
3/28/2024,5:05:45 PM,35
3/28/2024,5:06:00 PM,682
3/28/2024,5:06:15 PM,219
3/28/2024,5:06:30 PM,51
3/28/2024,5:06:45 PM,26
3/28/2024,5:07:00 PM,0
3/28/2024,5:07:15 PM,57
3/28/2024,5:07:30 PM,119
3/28/2024,5:07:45 PM,168
3/28/2024,5:08:00 PM,0
3/28/2024,5:08:15 PM,67
3/28/2024,5:08:30 PM,74
3/28/2024,5:08:45 PM,163
3/28/2024,5:09:00 PM,6
3/28/2024,5:09:15 PM,68
3/28/2024,5:09:30 PM,52
3/28/2024,5:09:45 PM,54
3/28/2024,5:10:00 PM,57
3/28/2024,5:10:15 PM,0
3/28/2024,5:10:30 PM,0
3/28/2024,5:10:45 PM,8
3/28/2024,5:11:00 PM,0
3/28/2024,5:11:15 PM,0
3/28/2024,5:11:30 PM,0
3/28/2024,5:11:45 PM,0
3/28/2024,5:12:00 PM,0
3/28/2024,5:12:15 PM,6
3/28/2024,5:12:30 PM,0
3/28/2024,5:12:45 PM,0
3/28/2024,5:13:00 PM,38
3/28/2024,5:13:15 PM,0
3/28/2024,5:13:30 PM,0
3/28/2024,5:13:45 PM,9
3/28/2024,5:14:00 PM,0
3/28/2024,5:14:15 PM,0
3/28/2024,5:14:30 PM,0
3/28/2024,5:14:45 PM,42
3/28/2024,5:15:00 PM,82
3/28/2024,5:15:15 PM,37
3/28/2024,5:15:30 PM,45
3/28/2024,5:15:45 PM,0
3/28/2024,5:16:00 PM,0
3/28/2024,5:16:15 PM,0
3/28/2024,5:16:30 PM,0
3/28/2024,5:16:45 PM,0
3/28/2024,5:17:00 PM,0
3/28/2024,5:17:15 PM,0
3/28/2024,5:17:30 PM,0
3/28/2024,5:17:45 PM,4
3/28/2024,5:18:00 PM,0
3/28/2024,5:18:15 PM,81
3/28/2024,5:18:30 PM,21
3/28/2024,5:18:45 PM,0
3/28/2024,5:19:00 PM,40
3/28/2024,5:19:15 PM,0
3/28/2024,5:19:30 PM,0
3/28/2024,5:19:45 PM,0
3/28/2024,5:20:00 PM,0
3/28/2024,5:20:15 PM,0
3/28/2024,5:20:30 PM,0
3/28/2024,5:20:45 PM,0
3/28/2024,5:21:00 PM,0
3/28/2024,5:21:15 PM,0
3/28/2024,5:21:30 PM,18
3/28/2024,5:21:45 PM,0
3/28/2024,5:22:00 PM,0
3/28/2024,5:22:15 PM,0
3/28/2024,5:22:30 PM,0
3/28/2024,5:22:45 PM,0
3/28/2024,5:23:00 PM,0
3/28/2024,5:23:15 PM,495
3/28/2024,5:23:30 PM,264
3/28/2024,5:23:45 PM,7
3/28/2024,5:24:00 PM,29
3/28/2024,5:24:15 PM,54
3/28/2024,5:24:30 PM,0
3/28/2024,5:24:45 PM,17
3/28/2024,5:25:00 PM,0
3/28/2024,5:25:15 PM,4
3/28/2024,5:25:30 PM,0
3/28/2024,5:25:45 PM,29
3/28/2024,5:26:00 PM,95
3/28/2024,5:26:15 PM,0
3/28/2024,5:26:30 PM,0
3/28/2024,5:26:45 PM,0
3/28/2024,5:27:00 PM,0
3/28/2024,5:27:15 PM,0
3/28/2024,5:27:30 PM,0
3/28/2024,5:27:45 PM,0
3/28/2024,5:28:00 PM,0
3/28/2024,5:28:15 PM,0
3/28/2024,5:28:30 PM,0
3/28/2024,5:28:45 PM,19
3/28/2024,5:29:00 PM,28
3/28/2024,5:29:15 PM,120
3/28/2024,5:29:30 PM,65
3/28/2024,5:29:45 PM,36
3/28/2024,5:30:00 PM,22
3/28/2024,5:30:15 PM,0
3/28/2024,5:30:30 PM,0
3/28/2024,5:30:45 PM,0
3/28/2024,5:31:00 PM,89
3/28/2024,5:31:15 PM,56
3/28/2024,5:31:30 PM,87
3/28/2024,5:31:45 PM,7
3/28/2024,5:32:00 PM,151
3/28/2024,5:32:15 PM,20
3/28/2024,5:32:30 PM,34
3/28/2024,5:32:45 PM,15
3/28/2024,5:33:00 PM,107
3/28/2024,5:33:15 PM,11
3/28/2024,5:33:30 PM,61
3/28/2024,5:33:45 PM,10
3/28/2024,5:34:00 PM,0
3/28/2024,5:34:15 PM,119
3/28/2024,5:34:30 PM,76
3/28/2024,5:34:45 PM,19
3/28/2024,5:35:00 PM,0
3/28/2024,5:35:15 PM,0
3/28/2024,5:35:30 PM,35
3/28/2024,5:35:45 PM,0
3/28/2024,5:36:00 PM,0
3/28/2024,5:36:15 PM,53
3/28/2024,5:36:30 PM,5
3/28/2024,5:36:45 PM,0
3/28/2024,5:37:00 PM,10
3/28/2024,5:37:15 PM,20
3/28/2024,5:37:30 PM,30
3/28/2024,5:37:45 PM,38
3/28/2024,5:38:00 PM,44
3/28/2024,5:38:15 PM,0
3/28/2024,5:38:30 PM,12
3/28/2024,5:38:45 PM,10
3/28/2024,5:39:00 PM,0
3/28/2024,5:39:15 PM,77
3/28/2024,5:39:30 PM,219
3/28/2024,5:39:45 PM,5
3/28/2024,5:40:00 PM,57
3/28/2024,5:40:15 PM,75
3/28/2024,5:40:30 PM,5
3/28/2024,5:40:45 PM,8
3/28/2024,5:41:00 PM,10
3/28/2024,5:41:15 PM,0
3/28/2024,5:41:30 PM,184
3/28/2024,5:41:45 PM,77
3/28/2024,5:42:00 PM,70
3/28/2024,5:42:15 PM,86
3/28/2024,5:42:30 PM,13
3/28/2024,5:42:45 PM,20
3/28/2024,5:43:00 PM,24
3/28/2024,5:43:15 PM,4
3/28/2024,5:43:30 PM,27
3/28/2024,5:43:45 PM,0
3/28/2024,5:44:00 PM,0
3/28/2024,5:44:15 PM,106
3/28/2024,5:44:30 PM,203
3/28/2024,5:44:45 PM,77
3/28/2024,5:45:00 PM,0
3/28/2024,5:45:15 PM,6
3/28/2024,5:45:30 PM,11
3/28/2024,5:45:45 PM,0
3/28/2024,5:46:00 PM,50
3/28/2024,5:46:15 PM,25
3/28/2024,5:46:30 PM,637
3/28/2024,5:46:45 PM,48
3/28/2024,5:47:00 PM,37
3/28/2024,5:47:15 PM,28
3/28/2024,5:47:30 PM,0
3/28/2024,5:47:45 PM,0
3/28/2024,5:48:00 PM,0
3/28/2024,5:48:15 PM,0
3/28/2024,5:48:30 PM,0
3/28/2024,5:48:45 PM,0
3/28/2024,5:49:00 PM,0
3/28/2024,5:49:15 PM,4
3/28/2024,5:49:30 PM,0
3/28/2024,5:49:45 PM,0
3/28/2024,5:50:00 PM,0
3/28/2024,5:50:15 PM,0
3/28/2024,5:50:30 PM,37
3/28/2024,5:50:45 PM,65
3/28/2024,5:51:00 PM,0
3/28/2024,5:51:15 PM,756
3/28/2024,5:51:30 PM,41
3/28/2024,5:51:45 PM,0
3/28/2024,5:52:00 PM,56
3/28/2024,5:52:15 PM,67
3/28/2024,5:52:30 PM,0
3/28/2024,5:52:45 PM,103
3/28/2024,5:53:00 PM,0
3/28/2024,5:53:15 PM,0
3/28/2024,5:53:30 PM,0
3/28/2024,5:53:45 PM,0
3/28/2024,5:54:00 PM,0
3/28/2024,5:54:15 PM,89
3/28/2024,5:54:30 PM,90
3/28/2024,5:54:45 PM,216
3/28/2024,5:55:00 PM,133
3/28/2024,5:55:15 PM,39
3/28/2024,5:55:30 PM,116
3/28/2024,5:55:45 PM,40
3/28/2024,5:56:00 PM,0
3/28/2024,5:56:15 PM,0
3/28/2024,5:56:30 PM,19
3/28/2024,5:56:45 PM,260
3/28/2024,5:57:00 PM,240
3/28/2024,5:57:15 PM,0
3/28/2024,5:57:30 PM,0
3/28/2024,5:57:45 PM,0
3/28/2024,5:58:00 PM,0
3/28/2024,5:58:15 PM,0
3/28/2024,5:58:30 PM,0
3/28/2024,5:58:45 PM,0
3/28/2024,5:59:00 PM,0
3/28/2024,5:59:15 PM,0
3/28/2024,5:59:30 PM,0
3/28/2024,5:59:45 PM,0
3/28/2024,6:00:00 PM,0
3/28/2024,6:00:15 PM,0
3/28/2024,6:00:30 PM,0
3/28/2024,6:00:45 PM,311
3/28/2024,6:01:00 PM,458
3/28/2024,6:01:15 PM,469
3/28/2024,6:01:30 PM,543
3/28/2024,6:01:45 PM,541
3/28/2024,6:02:00 PM,793
3/28/2024,6:02:15 PM,322
3/28/2024,6:02:30 PM,731
3/28/2024,6:02:45 PM,449
3/28/2024,6:03:00 PM,334
3/28/2024,6:03:15 PM,417
3/28/2024,6:03:30 PM,159
3/28/2024,6:03:45 PM,239
3/28/2024,6:04:00 PM,130
3/28/2024,6:04:15 PM,31
3/28/2024,6:04:30 PM,0
3/28/2024,6:04:45 PM,0
3/28/2024,6:05:00 PM,10
3/28/2024,6:05:15 PM,0
3/28/2024,6:05:30 PM,4
3/28/2024,6:05:45 PM,164
3/28/2024,6:06:00 PM,215
3/28/2024,6:06:15 PM,75
3/28/2024,6:06:30 PM,0
3/28/2024,6:06:45 PM,91
3/28/2024,6:07:00 PM,34
3/28/2024,6:07:15 PM,10
3/28/2024,6:07:30 PM,298
3/28/2024,6:07:45 PM,329
3/28/2024,6:08:00 PM,60
3/28/2024,6:08:15 PM,35
3/28/2024,6:08:30 PM,278
3/28/2024,6:08:45 PM,74
3/28/2024,6:09:00 PM,24
3/28/2024,6:09:15 PM,309
3/28/2024,6:09:30 PM,35
3/28/2024,6:09:45 PM,255
3/28/2024,6:10:00 PM,12
3/28/2024,6:10:15 PM,114
3/28/2024,6:10:30 PM,203
3/28/2024,6:10:45 PM,0
3/28/2024,6:11:00 PM,4
3/28/2024,6:11:15 PM,0
3/28/2024,6:11:30 PM,265
3/28/2024,6:11:45 PM,157
3/28/2024,6:12:00 PM,147
3/28/2024,6:12:15 PM,95
3/28/2024,6:12:30 PM,139
3/28/2024,6:12:45 PM,155
3/28/2024,6:13:00 PM,96
3/28/2024,6:13:15 PM,216
3/28/2024,6:13:30 PM,85
3/28/2024,6:13:45 PM,59
3/28/2024,6:14:00 PM,0
3/28/2024,6:14:15 PM,0
3/28/2024,6:14:30 PM,6
3/28/2024,6:14:45 PM,0
3/28/2024,6:15:00 PM,9
3/28/2024,6:15:15 PM,47
3/28/2024,6:15:30 PM,13
3/28/2024,6:15:45 PM,16
3/28/2024,6:16:00 PM,51
3/28/2024,6:16:15 PM,0
3/28/2024,6:16:30 PM,135
3/28/2024,6:16:45 PM,47
3/28/2024,6:17:00 PM,16
3/28/2024,6:17:15 PM,6
3/28/2024,6:17:30 PM,85
