Date,Time,Activity (Triaxial-Counts)
3/26/2024,1:20:15 PM,4
3/26/2024,1:20:30 PM,0
3/26/2024,1:20:45 PM,5
3/26/2024,1:21:00 PM,20
3/26/2024,1:21:15 PM,0
3/26/2024,1:21:30 PM,0
3/26/2024,1:21:45 PM,0
3/26/2024,1:22:00 PM,0
3/26/2024,1:22:15 PM,0
3/26/2024,1:22:30 PM,0
3/26/2024,1:22:45 PM,8
3/26/2024,1:23:00 PM,0
3/26/2024,1:23:15 PM,0
3/26/2024,1:23:30 PM,233
3/26/2024,1:23:45 PM,276
3/26/2024,1:24:00 PM,115
3/26/2024,1:24:15 PM,91
3/26/2024,1:24:30 PM,157
3/26/2024,1:24:45 PM,11
3/26/2024,1:25:00 PM,135
3/26/2024,1:25:15 PM,737
3/26/2024,1:25:30 PM,102
3/26/2024,1:25:45 PM,0
3/26/2024,1:26:00 PM,0
3/26/2024,1:26:15 PM,8
3/26/2024,1:26:30 PM,8
3/26/2024,1:26:45 PM,53
3/26/2024,1:27:00 PM,0
3/26/2024,1:27:15 PM,0
3/26/2024,1:27:30 PM,0
3/26/2024,1:27:45 PM,0
3/26/2024,1:28:00 PM,0
3/26/2024,1:28:15 PM,0
3/26/2024,1:28:30 PM,0
3/26/2024,1:28:45 PM,0
3/26/2024,1:29:00 PM,0
3/26/2024,1:29:15 PM,0
3/26/2024,1:29:30 PM,0
3/26/2024,1:29:45 PM,0
3/26/2024,1:30:00 PM,13
3/26/2024,1:30:15 PM,21
3/26/2024,1:30:30 PM,0
3/26/2024,1:30:45 PM,9
3/26/2024,1:31:00 PM,13
3/26/2024,1:31:15 PM,0
3/26/2024,1:31:30 PM,0
3/26/2024,1:31:45 PM,0
3/26/2024,1:32:00 PM,0
3/26/2024,1:32:15 PM,0
3/26/2024,1:32:30 PM,0
3/26/2024,1:32:45 PM,0
3/26/2024,1:33:00 PM,0
3/26/2024,1:33:15 PM,0
3/26/2024,1:33:30 PM,0
3/26/2024,1:33:45 PM,0
3/26/2024,1:34:00 PM,0
3/26/2024,1:34:15 PM,0
3/26/2024,1:34:30 PM,0
3/26/2024,1:34:45 PM,4
3/26/2024,1:35:00 PM,0
3/26/2024,1:35:15 PM,85
3/26/2024,1:35:30 PM,19
3/26/2024,1:35:45 PM,0
3/26/2024,1:36:00 PM,85
3/26/2024,1:36:15 PM,241
3/26/2024,1:36:30 PM,212
3/26/2024,1:36:45 PM,0
3/26/2024,1:37:00 PM,0
3/26/2024,1:37:15 PM,0
3/26/2024,1:37:30 PM,0
3/26/2024,1:37:45 PM,0
3/26/2024,1:38:00 PM,56
3/26/2024,1:38:15 PM,97
3/26/2024,1:38:30 PM,17
3/26/2024,1:38:45 PM,64
3/26/2024,1:39:00 PM,0
3/26/2024,1:39:15 PM,0
3/26/2024,1:39:30 PM,0
3/26/2024,1:39:45 PM,0
3/26/2024,1:40:00 PM,0
3/26/2024,1:40:15 PM,15
3/26/2024,1:40:30 PM,370
3/26/2024,1:40:45 PM,101
3/26/2024,1:41:00 PM,90
3/26/2024,1:41:15 PM,97
3/26/2024,1:41:30 PM,169
3/26/2024,1:41:45 PM,169
3/26/2024,1:42:00 PM,203
3/26/2024,1:42:15 PM,9
