Date,Time,Activity (Triaxial-Counts)
3/23/2024,8:20:15 PM,20
3/23/2024,8:20:30 PM,14
3/23/2024,8:20:45 PM,257
3/23/2024,8:21:00 PM,11
3/23/2024,8:21:15 PM,1
3/23/2024,8:21:30 PM,24
3/23/2024,8:21:45 PM,14
3/23/2024,8:22:00 PM,47
3/23/2024,8:22:15 PM,14
3/23/2024,8:22:30 PM,78
3/23/2024,8:22:45 PM,24
3/23/2024,8:23:00 PM,36
3/23/2024,8:23:15 PM,69
3/23/2024,8:23:30 PM,32
3/23/2024,8:23:45 PM,12
3/23/2024,8:24:00 PM,20
3/23/2024,8:24:15 PM,11
3/23/2024,8:24:30 PM,117
3/23/2024,8:24:45 PM,71
3/23/2024,8:25:00 PM,10
3/23/2024,8:25:15 PM,24
3/23/2024,8:25:30 PM,17
3/23/2024,8:25:45 PM,14
3/23/2024,8:26:00 PM,51
3/23/2024,8:26:15 PM,45
3/23/2024,8:26:30 PM,12
3/23/2024,8:26:45 PM,147
3/23/2024,8:27:00 PM,47
3/23/2024,8:27:15 PM,128
3/23/2024,8:27:30 PM,0
3/23/2024,8:27:45 PM,64
3/23/2024,8:28:00 PM,156
3/23/2024,8:28:15 PM,39
3/23/2024,8:28:30 PM,182
3/23/2024,8:28:45 PM,0
3/23/2024,8:29:00 PM,249
3/23/2024,8:29:15 PM,17
3/23/2024,8:29:30 PM,0
3/23/2024,8:29:45 PM,0
3/23/2024,8:30:00 PM,104
3/23/2024,8:30:15 PM,0
3/23/2024,8:30:30 PM,9
3/23/2024,8:30:45 PM,454
3/23/2024,8:31:00 PM,17
3/23/2024,8:31:15 PM,0
3/23/2024,8:31:30 PM,0
3/23/2024,8:31:45 PM,0
3/23/2024,8:32:00 PM,0
3/23/2024,8:32:15 PM,59
3/23/2024,8:32:30 PM,22
3/23/2024,8:32:45 PM,171
3/23/2024,8:33:00 PM,91
3/23/2024,8:33:15 PM,0
3/23/2024,8:33:30 PM,207
3/23/2024,8:33:45 PM,0
3/23/2024,8:34:00 PM,57
3/23/2024,8:34:15 PM,32
3/23/2024,8:34:30 PM,419
3/23/2024,8:34:45 PM,0
3/23/2024,8:35:00 PM,330
3/23/2024,8:35:15 PM,228
3/23/2024,8:35:30 PM,0
3/23/2024,8:35:45 PM,27
3/23/2024,8:36:00 PM,53
3/23/2024,8:36:15 PM,61
3/23/2024,8:36:30 PM,109
3/23/2024,8:36:45 PM,113
3/23/2024,8:37:00 PM,0
3/23/2024,8:37:15 PM,113
3/23/2024,8:37:30 PM,131
3/23/2024,8:37:45 PM,0
3/23/2024,8:38:00 PM,108
3/23/2024,8:38:15 PM,174
3/23/2024,8:38:30 PM,172
3/23/2024,8:38:45 PM,104
3/23/2024,8:39:00 PM,65
3/23/2024,8:39:15 PM,0
3/23/2024,8:39:30 PM,0
3/23/2024,8:39:45 PM,0
3/23/2024,8:40:00 PM,0
3/23/2024,8:40:15 PM,126
3/23/2024,8:40:30 PM,0
3/23/2024,8:40:45 PM,105
3/23/2024,8:41:00 PM,0
3/23/2024,8:41:15 PM,138
3/23/2024,8:41:30 PM,97
3/23/2024,8:41:45 PM,62
3/23/2024,8:42:00 PM,65
3/23/2024,8:42:15 PM,0
3/23/2024,8:42:30 PM,0
3/23/2024,8:42:45 PM,133
3/23/2024,8:43:00 PM,39
3/23/2024,8:43:15 PM,0
3/23/2024,8:43:30 PM,0
3/23/2024,8:43:45 PM,54
3/23/2024,8:44:00 PM,32
3/23/2024,8:44:15 PM,13
3/23/2024,8:44:30 PM,186
3/23/2024,8:44:45 PM,172
3/23/2024,8:45:00 PM,60
3/23/2024,8:45:15 PM,431
3/23/2024,8:45:30 PM,306
3/23/2024,8:45:45 PM,199
3/23/2024,8:46:00 PM,47
3/23/2024,8:46:15 PM,89
3/23/2024,8:46:30 PM,93
3/23/2024,8:46:45 PM,6
3/23/2024,8:47:00 PM,0
3/23/2024,8:47:15 PM,59
3/23/2024,8:47:30 PM,323
3/23/2024,8:47:45 PM,198
3/23/2024,8:48:00 PM,29
3/23/2024,8:48:15 PM,200
3/23/2024,8:48:30 PM,208
3/23/2024,8:48:45 PM,60
3/23/2024,8:49:00 PM,0
3/23/2024,8:49:15 PM,99
3/23/2024,8:49:30 PM,0
3/23/2024,8:49:45 PM,0
3/23/2024,8:50:00 PM,0
3/23/2024,8:50:15 PM,17
3/23/2024,8:50:30 PM,53
3/23/2024,8:50:45 PM,389
3/23/2024,8:51:00 PM,324
3/23/2024,8:51:15 PM,361
3/23/2024,8:51:30 PM,269
3/23/2024,8:51:45 PM,297
3/23/2024,8:52:00 PM,208
3/23/2024,8:52:15 PM,272
3/23/2024,8:52:30 PM,59
3/23/2024,8:52:45 PM,112
3/23/2024,8:53:00 PM,112
3/23/2024,8:53:15 PM,46
3/23/2024,8:53:30 PM,470
3/23/2024,8:53:45 PM,291
3/23/2024,8:54:00 PM,183
3/23/2024,8:54:15 PM,228
3/23/2024,8:54:30 PM,189
3/23/2024,8:54:45 PM,377
3/23/2024,8:55:00 PM,389
3/23/2024,8:55:15 PM,205
3/23/2024,8:55:30 PM,98
3/23/2024,8:55:45 PM,27
3/23/2024,8:56:00 PM,0
3/23/2024,8:56:15 PM,0
3/23/2024,8:56:30 PM,15
3/23/2024,8:56:45 PM,30
3/23/2024,8:57:00 PM,9
3/23/2024,8:57:15 PM,59
3/23/2024,8:57:30 PM,18
3/23/2024,8:57:45 PM,149
3/23/2024,8:58:00 PM,200
3/23/2024,8:58:15 PM,102
3/23/2024,8:58:30 PM,124
3/23/2024,8:58:45 PM,14
3/23/2024,8:59:00 PM,0
3/23/2024,8:59:15 PM,252
3/23/2024,8:59:30 PM,10
3/23/2024,8:59:45 PM,34
3/23/2024,9:00:00 PM,30
3/23/2024,9:00:15 PM,39
3/23/2024,9:00:30 PM,8
3/23/2024,9:00:45 PM,31
3/23/2024,9:01:00 PM,163
3/23/2024,9:01:15 PM,578
3/23/2024,9:01:30 PM,515
3/23/2024,9:01:45 PM,368
3/23/2024,9:02:00 PM,292
3/23/2024,9:02:15 PM,201
3/23/2024,9:02:30 PM,82
3/23/2024,9:02:45 PM,81
3/23/2024,9:03:00 PM,28
3/23/2024,9:03:15 PM,67
3/23/2024,9:03:30 PM,100
3/23/2024,9:03:45 PM,8
3/23/2024,9:04:00 PM,152
3/23/2024,9:04:15 PM,256
3/23/2024,9:04:30 PM,164
3/23/2024,9:04:45 PM,101
3/23/2024,9:05:00 PM,172
3/23/2024,9:05:15 PM,466
3/23/2024,9:05:30 PM,229
3/23/2024,9:05:45 PM,43
3/23/2024,9:06:00 PM,0
3/23/2024,9:06:15 PM,29
3/23/2024,9:06:30 PM,113
3/23/2024,9:06:45 PM,57
3/23/2024,9:07:00 PM,61
3/23/2024,9:07:15 PM,0
3/23/2024,9:07:30 PM,30
3/23/2024,9:07:45 PM,0
3/23/2024,9:08:00 PM,0
3/23/2024,9:08:15 PM,4
3/23/2024,9:08:30 PM,15
3/23/2024,9:08:45 PM,150
3/23/2024,9:09:00 PM,32
3/23/2024,9:09:15 PM,35
3/23/2024,9:09:30 PM,80
3/23/2024,9:09:45 PM,112
3/23/2024,9:10:00 PM,156
3/23/2024,9:10:15 PM,149
3/23/2024,9:10:30 PM,153
3/23/2024,9:10:45 PM,48
3/23/2024,9:11:00 PM,110
3/23/2024,9:11:15 PM,180
3/23/2024,9:11:30 PM,115
3/23/2024,9:11:45 PM,149
3/23/2024,9:12:00 PM,41
3/23/2024,9:12:15 PM,196
3/23/2024,9:12:30 PM,140
3/23/2024,9:12:45 PM,140
3/23/2024,9:13:00 PM,58
3/23/2024,9:13:15 PM,34
3/23/2024,9:13:30 PM,192
3/23/2024,9:13:45 PM,75
3/23/2024,9:14:00 PM,21
3/23/2024,9:14:15 PM,230
3/23/2024,9:14:30 PM,34
3/23/2024,9:14:45 PM,143
3/23/2024,9:15:00 PM,268
3/23/2024,9:15:15 PM,125
3/23/2024,9:15:30 PM,167
3/23/2024,9:15:45 PM,374
3/23/2024,9:16:00 PM,254
3/23/2024,9:16:15 PM,275
3/23/2024,9:16:30 PM,387
3/23/2024,9:16:45 PM,0
3/23/2024,9:17:00 PM,0
3/23/2024,9:17:15 PM,86
3/23/2024,9:17:30 PM,0
3/23/2024,9:17:45 PM,0
3/23/2024,9:18:00 PM,99
3/23/2024,9:18:15 PM,0
3/23/2024,9:18:30 PM,0
3/23/2024,9:18:45 PM,0
3/23/2024,9:19:00 PM,0
3/23/2024,9:19:15 PM,0
3/23/2024,9:19:30 PM,0
3/23/2024,9:19:45 PM,0
3/23/2024,9:20:00 PM,0
3/23/2024,9:20:15 PM,34
3/23/2024,9:20:30 PM,99
