Date,Time,Activity (Triaxial-Counts)
3/27/2024,11:51:00 PM,37
3/27/2024,11:51:15 PM,19
3/27/2024,11:51:30 PM,74
3/27/2024,11:51:45 PM,63
3/27/2024,11:52:00 PM,21
3/27/2024,11:52:15 PM,0
3/27/2024,11:52:30 PM,4
3/27/2024,11:52:45 PM,210
3/27/2024,11:53:00 PM,0
3/27/2024,11:53:15 PM,0
3/27/2024,11:53:30 PM,0
3/27/2024,11:53:45 PM,0
3/27/2024,11:54:00 PM,0
3/27/2024,11:54:15 PM,67
3/27/2024,11:54:30 PM,87
3/27/2024,11:54:45 PM,107
3/27/2024,11:55:00 PM,46
3/27/2024,11:55:15 PM,20
3/27/2024,11:55:30 PM,36
3/27/2024,11:55:45 PM,0
3/27/2024,11:56:00 PM,0
3/27/2024,11:56:15 PM,0
3/27/2024,11:56:30 PM,0
3/27/2024,11:56:45 PM,13
3/27/2024,11:57:00 PM,4
3/27/2024,11:57:15 PM,49
3/27/2024,11:57:30 PM,89
3/27/2024,11:57:45 PM,9
3/27/2024,11:58:00 PM,18
3/27/2024,11:58:15 PM,69
3/27/2024,11:58:30 PM,0
3/27/2024,11:58:45 PM,10
3/27/2024,11:59:00 PM,14
3/27/2024,11:59:15 PM,12
3/27/2024,11:59:30 PM,4
3/27/2024,11:59:45 PM,67
3/28/2024,12:00:00 AM,20
3/28/2024,12:00:15 AM,34
3/28/2024,12:00:30 AM,33
3/28/2024,12:00:45 AM,32
3/28/2024,12:01:00 AM,0
3/28/2024,12:01:15 AM,12
3/28/2024,12:01:30 AM,0
3/28/2024,12:01:45 AM,0
3/28/2024,12:02:00 AM,0
3/28/2024,12:02:15 AM,0
3/28/2024,12:02:30 AM,0
3/28/2024,12:02:45 AM,15
3/28/2024,12:03:00 AM,122
3/28/2024,12:03:15 AM,0
3/28/2024,12:03:30 AM,24
3/28/2024,12:03:45 AM,141
3/28/2024,12:04:00 AM,133
3/28/2024,12:04:15 AM,63
3/28/2024,12:04:30 AM,10
3/28/2024,12:04:45 AM,8
3/28/2024,12:05:00 AM,5
3/28/2024,12:05:15 AM,0
3/28/2024,12:05:30 AM,0
3/28/2024,12:05:45 AM,0
3/28/2024,12:06:00 AM,0
3/28/2024,12:06:15 AM,0
3/28/2024,12:06:30 AM,22
3/28/2024,12:06:45 AM,40
3/28/2024,12:07:00 AM,170
3/28/2024,12:07:15 AM,587
3/28/2024,12:07:30 AM,213
3/28/2024,12:07:45 AM,483
3/28/2024,12:08:00 AM,219
3/28/2024,12:08:15 AM,281
3/28/2024,12:08:30 AM,472
3/28/2024,12:08:45 AM,197
3/28/2024,12:09:00 AM,180
3/28/2024,12:09:15 AM,217
3/28/2024,12:09:30 AM,226
3/28/2024,12:09:45 AM,267
3/28/2024,12:10:00 AM,194
3/28/2024,12:10:15 AM,190
3/28/2024,12:10:30 AM,195
3/28/2024,12:10:45 AM,394
3/28/2024,12:11:00 AM,397
3/28/2024,12:11:15 AM,353
3/28/2024,12:11:30 AM,333
3/28/2024,12:11:45 AM,332
3/28/2024,12:12:00 AM,358
3/28/2024,12:12:15 AM,380
3/28/2024,12:12:30 AM,388
3/28/2024,12:12:45 AM,399
3/28/2024,12:13:00 AM,368
3/28/2024,12:13:15 AM,401
3/28/2024,12:13:30 AM,344
3/28/2024,12:13:45 AM,347
3/28/2024,12:14:00 AM,389
3/28/2024,12:14:15 AM,340
3/28/2024,12:14:30 AM,392
3/28/2024,12:14:45 AM,365
3/28/2024,12:15:00 AM,399
3/28/2024,12:15:15 AM,338
3/28/2024,12:15:30 AM,341
3/28/2024,12:15:45 AM,343
3/28/2024,12:16:00 AM,284
3/28/2024,12:16:15 AM,459
3/28/2024,12:16:30 AM,553
3/28/2024,12:16:45 AM,273
3/28/2024,12:17:00 AM,239
3/28/2024,12:17:15 AM,0
3/28/2024,12:17:30 AM,254
3/28/2024,12:17:45 AM,271
3/28/2024,12:18:00 AM,294
3/28/2024,12:18:15 AM,363
3/28/2024,12:18:30 AM,381
3/28/2024,12:18:45 AM,396
3/28/2024,12:19:00 AM,396
3/28/2024,12:19:15 AM,472
3/28/2024,12:19:30 AM,315
3/28/2024,12:19:45 AM,191
3/28/2024,12:20:00 AM,168
3/28/2024,12:20:15 AM,169
3/28/2024,12:20:30 AM,115
3/28/2024,12:20:45 AM,0
3/28/2024,12:21:00 AM,0
3/28/2024,12:21:15 AM,0
3/28/2024,12:21:30 AM,0
3/28/2024,12:21:45 AM,0
3/28/2024,12:22:00 AM,0
