Date,Time,Activity (Triaxial-Counts)
3/29/2024,9:10:15 PM,470
3/29/2024,9:10:30 PM,5
3/29/2024,9:10:45 PM,60
3/29/2024,9:11:00 PM,151
3/29/2024,9:11:15 PM,147
3/29/2024,9:11:30 PM,50
3/29/2024,9:11:45 PM,0
3/29/2024,9:12:00 PM,40
3/29/2024,9:12:15 PM,0
3/29/2024,9:12:30 PM,5
3/29/2024,9:12:45 PM,46
3/29/2024,9:13:00 PM,133
3/29/2024,9:13:15 PM,0
3/29/2024,9:13:30 PM,307
3/29/2024,9:13:45 PM,0
3/29/2024,9:14:00 PM,0
3/29/2024,9:14:15 PM,0
3/29/2024,9:14:30 PM,112
3/29/2024,9:14:45 PM,0
3/29/2024,9:15:00 PM,0
3/29/2024,9:15:15 PM,16
3/29/2024,9:15:30 PM,27
3/29/2024,9:15:45 PM,0
3/29/2024,9:16:00 PM,0
3/29/2024,9:16:15 PM,0
3/29/2024,9:16:30 PM,0
3/29/2024,9:16:45 PM,0
3/29/2024,9:17:00 PM,0
3/29/2024,9:17:15 PM,0
3/29/2024,9:17:30 PM,0
3/29/2024,9:17:45 PM,0
3/29/2024,9:18:00 PM,0
3/29/2024,9:18:15 PM,15
3/29/2024,9:18:30 PM,0
3/29/2024,9:18:45 PM,35
3/29/2024,9:19:00 PM,9
3/29/2024,9:19:15 PM,4
3/29/2024,9:19:30 PM,0
3/29/2024,9:19:45 PM,0
3/29/2024,9:20:00 PM,0
3/29/2024,9:20:15 PM,0
3/29/2024,9:20:30 PM,30
3/29/2024,9:20:45 PM,14
3/29/2024,9:21:00 PM,0
3/29/2024,9:21:15 PM,0
3/29/2024,9:21:30 PM,0
3/29/2024,9:21:45 PM,0
3/29/2024,9:22:00 PM,0
3/29/2024,9:22:15 PM,10
3/29/2024,9:22:30 PM,0
3/29/2024,9:22:45 PM,14
3/29/2024,9:23:00 PM,279
3/29/2024,9:23:15 PM,0
3/29/2024,9:23:30 PM,0
3/29/2024,9:23:45 PM,0
3/29/2024,9:24:00 PM,79
3/29/2024,9:24:15 PM,0
3/29/2024,9:24:30 PM,0
3/29/2024,9:24:45 PM,0
3/29/2024,9:25:00 PM,0
3/29/2024,9:25:15 PM,0
3/29/2024,9:25:30 PM,0
3/29/2024,9:25:45 PM,0
3/29/2024,9:26:00 PM,23
3/29/2024,9:26:15 PM,0
3/29/2024,9:26:30 PM,0
3/29/2024,9:26:45 PM,0
3/29/2024,9:27:00 PM,26
3/29/2024,9:27:15 PM,0
3/29/2024,9:27:30 PM,0
3/29/2024,9:27:45 PM,0
3/29/2024,9:28:00 PM,0
3/29/2024,9:28:15 PM,5
3/29/2024,9:28:30 PM,0
3/29/2024,9:28:45 PM,0
3/29/2024,9:29:00 PM,0
3/29/2024,9:29:15 PM,0
3/29/2024,9:29:30 PM,15
3/29/2024,9:29:45 PM,11
3/29/2024,9:30:00 PM,41
3/29/2024,9:30:15 PM,13
3/29/2024,9:30:30 PM,0
3/29/2024,9:30:45 PM,172
3/29/2024,9:31:00 PM,0
3/29/2024,9:31:15 PM,35
3/29/2024,9:31:30 PM,50
3/29/2024,9:31:45 PM,235
3/29/2024,9:32:00 PM,111
3/29/2024,9:32:15 PM,365
3/29/2024,9:32:30 PM,312
3/29/2024,9:32:45 PM,281
3/29/2024,9:33:00 PM,169
3/29/2024,9:33:15 PM,269
3/29/2024,9:33:30 PM,130
3/29/2024,9:33:45 PM,135
3/29/2024,9:34:00 PM,10
3/29/2024,9:34:15 PM,227
3/29/2024,9:34:30 PM,281
3/29/2024,9:34:45 PM,50
3/29/2024,9:35:00 PM,0
3/29/2024,9:35:15 PM,0
3/29/2024,9:35:30 PM,16
3/29/2024,9:35:45 PM,9
3/29/2024,9:36:00 PM,0
3/29/2024,9:36:15 PM,0
3/29/2024,9:36:30 PM,7
3/29/2024,9:36:45 PM,0
3/29/2024,9:37:00 PM,11
3/29/2024,9:37:15 PM,0
3/29/2024,9:37:30 PM,0
3/29/2024,9:37:45 PM,0
3/29/2024,9:38:00 PM,4
3/29/2024,9:38:15 PM,187
3/29/2024,9:38:30 PM,254
3/29/2024,9:38:45 PM,173
3/29/2024,9:39:00 PM,206
3/29/2024,9:39:15 PM,216
3/29/2024,9:39:30 PM,282
3/29/2024,9:39:45 PM,23
3/29/2024,9:40:00 PM,12
3/29/2024,9:40:15 PM,0
3/29/2024,9:40:30 PM,0
3/29/2024,9:40:45 PM,9
3/29/2024,9:41:00 PM,0
3/29/2024,9:41:15 PM,20
3/29/2024,9:41:30 PM,0
3/29/2024,9:41:45 PM,4
3/29/2024,9:42:00 PM,0
3/29/2024,9:42:15 PM,0
3/29/2024,9:42:30 PM,0
3/29/2024,9:42:45 PM,0
3/29/2024,9:43:00 PM,6
3/29/2024,9:43:15 PM,0
3/29/2024,9:43:30 PM,0
3/29/2024,9:43:45 PM,0
3/29/2024,9:44:00 PM,0
3/29/2024,9:44:15 PM,0
3/29/2024,9:44:30 PM,14
3/29/2024,9:44:45 PM,0
3/29/2024,9:45:00 PM,0
3/29/2024,9:45:15 PM,79
3/29/2024,9:45:30 PM,293
3/29/2024,9:45:45 PM,250
3/29/2024,9:46:00 PM,220
3/29/2024,9:46:15 PM,332
3/29/2024,9:46:30 PM,456
3/29/2024,9:46:45 PM,219
3/29/2024,9:47:00 PM,38
3/29/2024,9:47:15 PM,81
3/29/2024,9:47:30 PM,345
3/29/2024,9:47:45 PM,155
3/29/2024,9:48:00 PM,26
3/29/2024,9:48:15 PM,34
3/29/2024,9:48:30 PM,177
3/29/2024,9:48:45 PM,90
3/29/2024,9:49:00 PM,71
3/29/2024,9:49:15 PM,124
3/29/2024,9:49:30 PM,130
3/29/2024,9:49:45 PM,51
3/29/2024,9:50:00 PM,49
3/29/2024,9:50:15 PM,167
3/29/2024,9:50:30 PM,119
3/29/2024,9:50:45 PM,59
3/29/2024,9:51:00 PM,20
3/29/2024,9:51:15 PM,48
3/29/2024,9:51:30 PM,0
3/29/2024,9:51:45 PM,51
3/29/2024,9:52:00 PM,46
3/29/2024,9:52:15 PM,85
3/29/2024,9:52:30 PM,0
3/29/2024,9:52:45 PM,0
3/29/2024,9:53:00 PM,0
3/29/2024,9:53:15 PM,29
3/29/2024,9:53:30 PM,67
3/29/2024,9:53:45 PM,177
3/29/2024,9:54:00 PM,78
3/29/2024,9:54:15 PM,19
3/29/2024,9:54:30 PM,0
3/29/2024,9:54:45 PM,53
3/29/2024,9:55:00 PM,16
3/29/2024,9:55:15 PM,97
3/29/2024,9:55:30 PM,184
3/29/2024,9:55:45 PM,164
3/29/2024,9:56:00 PM,133
3/29/2024,9:56:15 PM,0
3/29/2024,9:56:30 PM,0
3/29/2024,9:56:45 PM,0
3/29/2024,9:57:00 PM,0
3/29/2024,9:57:15 PM,0
3/29/2024,9:57:30 PM,0
3/29/2024,9:57:45 PM,0
3/29/2024,9:58:00 PM,7
3/29/2024,9:58:15 PM,0
3/29/2024,9:58:30 PM,0
3/29/2024,9:58:45 PM,0
3/29/2024,9:59:00 PM,0
3/29/2024,9:59:15 PM,10
3/29/2024,9:59:30 PM,0
3/29/2024,9:59:45 PM,0
3/29/2024,10:00:00 PM,0
3/29/2024,10:00:15 PM,0
3/29/2024,10:00:30 PM,148
3/29/2024,10:00:45 PM,113
3/29/2024,10:01:00 PM,91
3/29/2024,10:01:15 PM,0
3/29/2024,10:01:30 PM,0
3/29/2024,10:01:45 PM,0
3/29/2024,10:02:00 PM,0
3/29/2024,10:02:15 PM,41
3/29/2024,10:02:30 PM,0
3/29/2024,10:02:45 PM,38
3/29/2024,10:03:00 PM,20
3/29/2024,10:03:15 PM,44
3/29/2024,10:03:30 PM,0
3/29/2024,10:03:45 PM,59
3/29/2024,10:04:00 PM,55
3/29/2024,10:04:15 PM,121
3/29/2024,10:04:30 PM,68
3/29/2024,10:04:45 PM,4
3/29/2024,10:05:00 PM,118
3/29/2024,10:05:15 PM,0
3/29/2024,10:05:30 PM,0
3/29/2024,10:05:45 PM,0
3/29/2024,10:06:00 PM,117
3/29/2024,10:06:15 PM,72
3/29/2024,10:06:30 PM,13
3/29/2024,10:06:45 PM,12
3/29/2024,10:07:00 PM,25
3/29/2024,10:07:15 PM,0
3/29/2024,10:07:30 PM,0
3/29/2024,10:07:45 PM,0
3/29/2024,10:08:00 PM,10
3/29/2024,10:08:15 PM,4
3/29/2024,10:08:30 PM,0
3/29/2024,10:08:45 PM,5
3/29/2024,10:09:00 PM,31
3/29/2024,10:09:15 PM,4
3/29/2024,10:09:30 PM,22
3/29/2024,10:09:45 PM,0
3/29/2024,10:10:00 PM,0
3/29/2024,10:10:15 PM,0
3/29/2024,10:10:30 PM,0
3/29/2024,10:10:45 PM,25
3/29/2024,10:11:00 PM,92
3/29/2024,10:11:15 PM,114
3/29/2024,10:11:30 PM,0
3/29/2024,10:11:45 PM,0
3/29/2024,10:12:00 PM,0
3/29/2024,10:12:15 PM,0
3/29/2024,10:12:30 PM,34
3/29/2024,10:12:45 PM,0
