Date,Time,Activity (Triaxial-Counts)
3/25/2024,4:20:15 PM,51
3/25/2024,4:20:30 PM,5
3/25/2024,4:20:45 PM,35
3/25/2024,4:21:00 PM,34
3/25/2024,4:21:15 PM,0
3/25/2024,4:21:30 PM,39
3/25/2024,4:21:45 PM,26
3/25/2024,4:22:00 PM,4
3/25/2024,4:22:15 PM,149
3/25/2024,4:22:30 PM,77
3/25/2024,4:22:45 PM,27
3/25/2024,4:23:00 PM,18
3/25/2024,4:23:15 PM,5
3/25/2024,4:23:30 PM,23
3/25/2024,4:23:45 PM,5
3/25/2024,4:24:00 PM,17
3/25/2024,4:24:15 PM,78
3/25/2024,4:24:30 PM,6
3/25/2024,4:24:45 PM,19
3/25/2024,4:25:00 PM,0
3/25/2024,4:25:15 PM,0
3/25/2024,4:25:30 PM,22
3/25/2024,4:25:45 PM,151
3/25/2024,4:26:00 PM,50
3/25/2024,4:26:15 PM,56
3/25/2024,4:26:30 PM,31
3/25/2024,4:26:45 PM,56
3/25/2024,4:27:00 PM,37
3/25/2024,4:27:15 PM,4
3/25/2024,4:27:30 PM,62
3/25/2024,4:27:45 PM,35
3/25/2024,4:28:00 PM,58
3/25/2024,4:28:15 PM,152
3/25/2024,4:28:30 PM,17
3/25/2024,4:28:45 PM,13
3/25/2024,4:29:00 PM,68
3/25/2024,4:29:15 PM,110
3/25/2024,4:29:30 PM,83
3/25/2024,4:29:45 PM,202
3/25/2024,4:30:00 PM,19
3/25/2024,4:30:15 PM,4
3/25/2024,4:30:30 PM,128
3/25/2024,4:30:45 PM,23
3/25/2024,4:31:00 PM,30
3/25/2024,4:31:15 PM,22
3/25/2024,4:31:30 PM,0
3/25/2024,4:31:45 PM,37
3/25/2024,4:32:00 PM,9
3/25/2024,4:32:15 PM,11
3/25/2024,4:32:30 PM,23
3/25/2024,4:32:45 PM,161
3/25/2024,4:33:00 PM,229
3/25/2024,4:33:15 PM,160
3/25/2024,4:33:30 PM,57
3/25/2024,4:33:45 PM,32
